Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Water,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KZV_M_R,Shrubland,142,24,85,11,11,12,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZV_M_R,Grassland,0,102,162,19,43,29,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZV_M_R,Non_Wetland,9,0,10,6,3,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZV_M_R,Bareland,65,6,30,5,0,14,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZV_M_R,Water,384,10,350,270,114,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZV_M_R,Forest,727,163,0,149,105,247,142,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZV_M_R,Wetland,82,3,90,0,18,100,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZV_M_R,Built-up,132,41,135,0,41,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZV_M_R,Cropland,495,0,300,16,119,48,138,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZV_M_R,Non_Wetland,6,0,4,16,5,5,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZV_M_R,Shrubland,59,0,28,43,14,14,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZV_M_R,Grassland,0,0,87,132,31,43,37,121,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZV_M_R,Wetland,40,0,27,0,12,145,1,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZV_M_R,Bareland,59,0,14,7,0,61,14,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZV_M_R,Water,297,0,115,315,31,0,38,115,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZV_M_R,Forest,682,0,0,618,179,403,92,603,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZV_M_R,Cropland,535,0,191,145,146,44,143,267,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZV_M_R,Built-up,118,0,11,24,53,16,0,40,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZV_M_R,Wetland,0,0,0,0,0,12,0,0,408,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZV_M_R,Grassland,0,0,0,14,0,23,0,0,299,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZV_M_R,Bareland,0,0,0,4,0,4,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZV_M_R,Water,0,0,0,202,0,0,0,0,654,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZV_M_R,Forest,0,0,0,109,0,103,0,0,1359,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZV_M_R,Shrubland,0,0,0,0,0,0,0,0,97,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZV_M_R,Cropland,0,0,0,9,0,3,0,0,286,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZV_M_R,Built-up,0,0,0,1,0,3,0,0,64,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZV_M_R,Grassland,0,34,53,164,109,40,15,98,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZV_M_R,Non_Wetland,2,0,0,20,6,6,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZV_M_R,Forest,511,79,0,832,458,465,10,471,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZV_M_R,Wetland,12,0,8,0,12,98,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZV_M_R,Bareland,23,0,6,7,0,23,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZV_M_R,Water,77,4,81,577,124,0,20,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZV_M_R,Shrubland,46,2,16,48,47,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZV_M_R,Built-up,140,2,10,43,174,1,0,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZV_M_R,Cropland,464,0,104,143,377,47,46,153,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZV_M_R,Grassland,0,0,0,0,0,32,0,0,0,37,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZV_M_R,Shrubland,0,0,0,0,0,4,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZV_M_R,Bareland,0,0,0,0,0,5,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZV_M_R,Cropland,0,0,0,0,0,25,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZV_M_R,Water,0,0,0,0,0,0,0,0,0,331,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZV_M_R,Wetland,0,0,0,0,0,78,0,0,0,62,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZV_M_R,Forest,0,0,0,0,0,164,0,0,0,154,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZV_M_R,Built-up,0,0,0,0,0,1,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZV_M_R,Grassland,0,403,215,14,4,23,106,435,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZV_M_R,Wetland,0,38,122,0,13,12,7,121,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZV_M_R,Forest,8,755,0,109,65,103,248,847,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZV_M_R,Built-up,0,136,22,1,0,3,0,103,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZV_M_R,Water,5,302,335,202,72,0,51,409,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZV_M_R,Bareland,0,123,17,4,0,4,57,79,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZV_M_R,Shrubland,0,13,9,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZV_M_R,Cropland,0,0,174,9,2,3,156,365,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZV_M_R,Grassland,0,439,169,1,2,51,100,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZV_M_R,Forest,0,603,0,83,0,355,280,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZV_M_R,Shrubland,0,93,41,0,0,12,33,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZV_M_R,Wetland,0,88,55,0,1,62,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZV_M_R,Bareland,0,105,17,0,0,4,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZV_M_R,Built-up,0,63,9,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZV_M_R,Water,0,192,155,68,10,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZV_M_R,Cropland,0,0,115,0,1,7,100,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZV_M_R,Wetland,58,5,265,0,15,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZV_M_R,Forest,100,165,0,8,70,60,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZV_M_R,Shrubland,41,36,118,0,10,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZV_M_R,Cropland,114,0,230,1,67,20,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZV_M_R,Built-up,26,83,91,0,11,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZV_M_R,Water,22,34,589,56,54,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZV_M_R,Bareland,2,19,38,0,0,3,0,0,0,0,0,0
