Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Wetland,Grassland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R,Grassland,113,3,14,6,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R,Non_Wetland,2,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R,Wetland,117,0,74,2,0,154,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R,Bareland,30,3,10,0,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R,Built-up,93,0,24,7,0,86,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R,Water,403,4,0,71,6,334,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R,Shrubland,3,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R,Cropland,11,0,1,1,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R,Forest,0,3,200,12,0,346,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBN_M_R,Grassland,0,0,12,0,22,0,148,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBN_M_R,Wetland,0,0,9,0,0,0,38,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBN_M_R,Shrubland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBN_M_R,Cropland,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBN_M_R,Water,0,0,0,0,225,0,242,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBN_M_R,Bareland,0,0,3,0,2,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBN_M_R,Forest,0,0,91,0,180,0,612,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBN_M_R,Built-up,0,0,14,0,7,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,Grassland,8,16,60,62,99,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,Non_Wetland,0,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,Bareland,0,3,21,0,3,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,Built-up,3,0,24,65,12,40,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,Water,85,26,0,88,385,157,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,Shrubland,0,0,0,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,Cropland,0,1,0,4,6,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,Wetland,4,1,65,10,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,Forest,0,27,319,166,482,282,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,Non_Wetland,0,1,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,Forest,0,99,222,141,297,458,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,Grassland,3,65,41,62,50,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,Shrubland,0,2,0,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,Water,51,112,0,84,176,284,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,Cropland,0,5,1,6,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,Wetland,7,3,62,7,0,75,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,Bareland,0,8,11,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,Built-up,0,0,6,17,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBN_M_R,Water,0,0,0,0,0,0,0,323,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBN_M_R,Wetland,0,0,65,0,0,0,0,83,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBN_M_R,Grassland,0,0,44,0,0,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBN_M_R,Built-up,0,0,44,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBN_M_R,Bareland,0,0,12,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBN_M_R,Forest,0,0,246,0,0,0,0,206,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBN_M_R,Grassland,138,33,12,11,22,0,0,0,51,41,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBN_M_R,Wetland,11,4,9,4,0,3,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBN_M_R,Bareland,11,13,3,0,2,24,0,0,2,1,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBN_M_R,Built-up,34,0,14,10,7,58,0,0,12,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBN_M_R,Water,258,49,0,132,225,148,0,0,77,5,20
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBN_M_R,Forest,0,63,91,133,180,161,0,0,93,57,22
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBN_M_R,Cropland,4,1,0,1,0,4,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBN_M_R,Grassland,68,67,45,37,18,0,0,0,0,100,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBN_M_R,Bareland,5,7,5,0,1,0,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBN_M_R,Built-up,2,0,0,9,0,0,0,0,0,8,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBN_M_R,Water,183,42,0,71,56,0,0,0,0,49,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBN_M_R,Forest,0,91,245,32,32,0,0,0,0,51,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBN_M_R,Wetland,54,4,67,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBN_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBN_M_R,Wetland,225,0,50,1,0,31,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBN_M_R,Water,565,0,0,85,3,37,0,0,0,30,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBN_M_R,Bareland,6,0,0,0,0,1,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBN_M_R,Built-up,26,0,6,2,1,8,0,0,0,6,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBN_M_R,Forest,0,0,31,1,0,12,0,0,0,11,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBN_M_R,Grassland,144,0,49,0,3,0,0,0,0,30,0
