Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Shrubland,142,92,42,12,17,28,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Grassland,0,365,71,135,81,104,84,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Non_Wetland,9,7,15,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Bareland,267,191,0,25,0,100,138,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Built-up,386,415,14,88,176,0,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Water,869,974,233,60,326,88,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Forest,1233,0,303,146,234,337,407,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Cropland,308,280,7,0,63,120,23,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Wetland,259,234,0,29,13,29,146,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Non_Water,2,2,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQU_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQU_M_R,Non_Wetland,7,2,8,0,3,0,4,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQU_M_R,Shrubland,79,33,7,0,27,14,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQU_M_R,Grassland,0,131,55,0,98,86,147,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQU_M_R,Cropland,362,118,14,0,121,93,34,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQU_M_R,Bareland,151,69,0,0,0,85,218,1,0,0,0,0
