Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Cropland,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Shrubland,251,82,64,101,23,50,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Grassland,0,20,22,94,3,53,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Non_Wetland,7,2,0,3,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Bareland,261,0,51,27,6,32,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Forest,544,105,51,0,101,64,46,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Cropland,427,195,139,155,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Wetland,95,4,0,52,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Built-up,210,87,0,117,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Water,253,147,6,129,0,19,99,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Non_Water,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LLH_M_R,Permanent_ice_and_snow,5,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Non_Wetland,2,1,0,3,1,0,14,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Shrubland,65,50,4,27,37,0,72,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Grassland,0,40,10,64,20,0,104,163,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Cropland,266,170,105,44,4,0,82,410,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Wetland,4,5,0,6,61,0,0,40,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Bareland,99,0,41,22,69,0,47,120,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Built-up,65,110,0,33,27,0,1,158,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Water,28,54,7,84,0,0,251,220,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Forest,256,202,51,0,132,0,405,590,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLH_M_R,Permanent_ice_and_snow,0,1,0,0,3,0,3,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Grassland,0,36,4,28,0,43,55,148,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Non_Wetland,2,5,0,1,0,0,9,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Wetland,15,51,0,2,7,0,0,59,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Forest,382,323,24,0,47,61,375,596,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Bareland,121,0,12,0,4,97,5,71,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Water,56,245,3,53,0,18,316,209,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Shrubland,87,73,10,13,6,28,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Cropland,236,117,34,32,1,0,22,260,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Built-up,114,80,0,14,0,79,12,120,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLH_M_R,Permanent_ice_and_snow,1,1,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLH_M_R,Wetland,0,0,0,0,26,0,0,0,377,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLH_M_R,Grassland,0,0,0,0,4,0,0,0,145,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLH_M_R,Water,0,0,0,0,0,0,63,0,284,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLH_M_R,Forest,0,0,0,0,83,0,46,0,704,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLH_M_R,Bareland,0,0,0,0,53,0,1,0,50,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLH_M_R,Shrubland,0,0,0,0,0,0,0,0,168,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLH_M_R,Cropland,0,0,0,0,35,0,0,0,91,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLH_M_R,Built-up,0,0,0,0,28,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLH_M_R,Grassland,0,0,0,0,7,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLH_M_R,Bareland,0,0,0,0,14,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLH_M_R,Shrubland,0,0,0,0,35,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLH_M_R,Wetland,0,0,0,0,56,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLH_M_R,Water,0,0,0,0,0,0,0,0,0,124,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLH_M_R,Forest,0,0,0,0,105,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLH_M_R,Built-up,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLH_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLH_M_R,Grassland,0,14,51,151,4,215,0,259,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLH_M_R,Wetland,2,9,1,87,26,12,0,155,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLH_M_R,Bareland,0,0,90,64,53,222,1,261,0,0,0
