Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWD_M_R
120,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
121,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
122,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
123,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
124,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
125,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
126,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
127,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
128,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
129,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
130,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
131,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
132,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
133,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
134,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
135,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
136,Forest,Water,Water,NULL,Water,NULL,NULL,Water
137,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
138,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
139,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
140,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
141,Forest,Water,Water,Water,Water,NULL,NULL,Water
142,Forest,Water,Water,Water,Water,NULL,NULL,Forest
143,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
144,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
145,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
146,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
147,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
148,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
149,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
150,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
151,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
152,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
153,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
154,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
155,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
156,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
157,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
158,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
159,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
160,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
161,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
162,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
163,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
164,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
165,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
166,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
167,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
168,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
169,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
170,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
171,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
172,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
173,Forest,Forest,Water,Water,Water,NULL,NULL,Water
174,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
175,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
176,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
177,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
178,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
179,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
180,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
181,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
182,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
183,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
