Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Cropland,Grassland,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R,Grassland,172,27,9,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R,Non_Wetland,3,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R,Cropland,23,3,1,0,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R,Wetland,255,0,129,0,0,380,187,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R,Bareland,15,12,0,0,0,32,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R,Water,323,4,83,12,0,247,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R,Shrubland,16,4,3,0,0,18,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R,Built-up,35,0,7,0,0,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBA_M_R,Forest,0,21,4,0,0,214,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,Non_Wetland,0,0,0,6,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,Forest,0,23,140,190,7,338,144,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,Grassland,28,20,124,121,6,0,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,Water,71,0,43,282,24,159,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,Shrubland,0,3,13,14,0,7,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,Built-up,0,0,49,17,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,Wetland,13,0,80,0,11,120,160,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,Bareland,0,0,0,7,5,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBA_M_R,Cropland,1,0,24,11,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,Non_Wetland,1,0,2,1,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,Grassland,49,13,88,57,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,Cropland,5,0,9,3,0,20,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,Bareland,0,1,0,8,0,15,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBA_M_R,Water,63,0,20,282,0,154,0,0,0,0,0
