Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R,Shrubland,3,1,3,1,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R,Grassland,0,1,12,2,2,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R,Cropland,31,0,39,1,8,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R,Wetland,32,0,21,0,30,25,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R,Bareland,75,1,0,4,43,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R,Built-up,6,0,14,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R,Water,95,3,104,5,0,109,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R,Forest,84,5,90,18,49,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZM_M_R,Permanent_ice_and_snow,2,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZM_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZM_M_R,Bareland,0,29,0,0,9,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZM_M_R,Water,0,47,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZM_M_R,Forest,0,28,0,0,12,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZM_M_R,Grassland,0,3,0,0,0,0,0,1,0,0,0,0
