Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Shrubland,124,98,30,8,6,16,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Grassland,0,212,139,35,33,33,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Bareland,138,74,48,0,0,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Forest,566,0,202,51,72,83,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Non_Wetland,4,4,1,0,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Cropland,487,382,0,99,3,88,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Wetland,132,122,0,6,0,2,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Water,378,405,22,90,156,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Built-up,165,111,83,34,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Lichens_and_Mosses,3,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUG_M_R,Permanent_ice_and_snow,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Shrubland,56,28,0,24,28,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Non_Wetland,5,4,0,0,6,0,1,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Grassland,0,82,0,66,107,13,16,90,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Cropland,588,228,0,211,118,78,12,267,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUG_M_R,Wetland,117,35,0,3,0,0,83,36,0,0,0,0
