Dataset,MajorityClass,Cropland,Bareland,Built-up,Forest,Wetland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Grassland,159,38,85,277,349,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Non_Wetland,1,0,0,4,8,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Bareland,18,0,42,87,30,42,411,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Built-up,65,105,0,190,26,23,372,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Forest,256,124,154,0,605,150,1031,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Wetland,31,60,12,373,0,177,567,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Water,34,100,15,408,363,0,441,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Shrubland,4,3,2,12,14,1,26,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Cropland,0,88,131,265,133,2,519,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Lichens_and_Mosses,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVE_M_R,Permanent_ice_and_snow,0,3,0,17,4,0,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,Non_Wetland,0,2,0,1,9,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,Grassland,0,86,74,173,410,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,Wetland,0,237,12,91,0,270,120,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,Bareland,0,0,60,38,51,74,69,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,Built-up,0,103,0,45,97,56,102,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,Forest,0,164,134,0,1092,265,595,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,Shrubland,0,8,2,6,17,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,Water,0,106,48,129,492,0,111,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,Cropland,0,106,78,196,222,20,411,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVE_M_R,Permanent_ice_and_snow,0,17,0,2,15,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,Wetland,0,0,0,0,0,34,0,1468,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,Grassland,0,0,0,0,41,2,0,880,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,Forest,0,0,0,0,262,71,0,1842,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,Water,0,0,0,0,351,0,0,561,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,Shrubland,0,0,0,0,0,0,0,40,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,Bareland,0,0,0,0,109,12,0,113,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,Cropland,0,0,0,0,2,1,0,375,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,Built-up,0,0,0,0,32,2,0,136,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVE_M_R,Non_Wetland,0,2,0,5,5,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVE_M_R,Wetland,1,150,3,249,0,120,133,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVE_M_R,Built-up,0,204,0,35,16,14,193,0,0,0,0,0
