Dataset,MajorityClass,Built-up,Water,Forest,Bareland,Grassland,Non_Wetland,Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Grassland,45,34,187,28,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Non_Wetland,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Bareland,7,47,27,0,58,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Built-up,0,14,91,29,112,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Water,3,0,540,207,471,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Shrubland,0,0,5,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Cropland,1,2,21,1,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Wetland,0,27,32,0,40,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Forest,15,254,0,93,451,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R,Permanent_ice_and_snow,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,Grassland,0,47,0,0,0,217,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,Water,0,0,0,0,0,298,143,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,Cropland,0,0,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,Bareland,0,11,0,0,0,46,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,Built-up,0,6,0,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,Forest,0,129,0,0,0,571,123,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,Wetland,0,1,0,0,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Grassland,43,124,42,184,0,0,127,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,Non_Wetland,0,0,0,0,0,0,2,0,0,0,0,0
