Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Shrubland,Built-up,Non_Wetland,Cropland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Non_Wetland,10,4,2,4,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Grassland,125,0,53,59,60,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Cropland,3,22,12,1,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Wetland,0,161,36,329,77,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Bareland,12,13,0,12,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Water,435,160,31,0,205,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Forest,441,349,129,309,0,12,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Non_Water,0,1,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Shrubland,13,11,7,7,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQD_M_R,Built-up,18,36,41,4,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Non_Wetland,0,9,0,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Grassland,14,0,8,1,115,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Cropland,0,18,0,0,30,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Wetland,0,552,1,60,367,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Bareland,2,45,0,0,16,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Water,227,727,13,0,412,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Non_Water,0,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Shrubland,1,20,1,0,21,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Built-up,0,51,7,0,45,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQD_M_R,Forest,35,464,3,57,0,0,50,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,Grassland,29,0,0,15,0,0,0,292,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,Wetland,0,0,0,59,0,0,0,513,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,Forest,180,0,0,73,0,0,0,922,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,Water,153,0,0,0,0,0,0,587,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,Shrubland,0,0,0,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,Bareland,1,0,0,0,0,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,Built-up,0,0,0,0,0,0,0,35,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQD_M_R,Cropland,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Non_Wetland,12,2,1,4,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Bareland,22,12,0,15,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Forest,619,418,78,313,0,0,8,0,146,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Grassland,202,0,18,93,2,0,2,0,38,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Wetland,0,88,11,273,3,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Non_Water,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Water,611,154,7,0,6,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Shrubland,12,12,6,9,0,0,1,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Cropland,1,23,3,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQD_M_R,Built-up,22,45,15,9,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQD_M_R,Grassland,0,0,0,76,0,0,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQD_M_R,Water,0,0,0,0,0,0,0,0,0,280,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQD_M_R,Wetland,0,0,0,306,0,0,0,0,0,187,0,0
