Dataset,MajorityClass,Grassland,Wetland,Forest,Built-up,Water,Bareland,Cropland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R,Shrubland,2,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R,Grassland,0,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R,Wetland,8,0,3,0,11,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R,Bareland,27,1,16,0,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R,Built-up,2,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R,Forest,46,7,0,4,29,46,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R,Water,43,0,47,0,0,43,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R,Cropland,7,0,2,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZN_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZN_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZN_M_R,Bareland,0,17,0,0,5,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZN_M_R,Forest,0,19,0,0,6,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZN_M_R,Water,0,29,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZN_M_R,Water,22,29,32,7,0,22,5,0,41,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZN_M_R,Bareland,21,17,19,9,5,0,3,0,29,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZN_M_R,Built-up,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZN_M_R,Forest,29,19,0,8,6,18,10,0,27,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZN_M_R,Grassland,0,0,3,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZN_M_R,Cropland,2,0,4,0,0,2,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZN_M_R,Wetland,0,0,0,0,9,0,0,0,0,0,8
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZN_M_R,Bareland,0,0,0,0,45,0,0,0,0,0,37
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZN_M_R,Water,0,0,0,0,0,0,0,0,0,0,77
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZN_M_R,Forest,0,0,0,0,44,0,0,0,0,0,38
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZN_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZN_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,3
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,Wetland,0,0,3,0,9,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,Water,0,0,29,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,Forest,0,0,0,3,47,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,Grassland,0,0,6,0,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,Cropland,0,0,3,0,6,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,Bareland,0,0,19,0,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZN_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZN_M_R,Water,1,0,54,0,0,45,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZN_M_R,Forest,2,0,0,0,16,16,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZN_M_R,Grassland,0,0,4,0,1,4,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZN_M_R,Wetland,0,0,8,0,0,7,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZN_M_R,Bareland,0,0,13,0,3,0,1,0,0,0,0
