Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Bareland,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R,Shrubland,1,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R,Grassland,0,8,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R,Cropland,8,5,1,8,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R,Wetland,33,0,2,27,17,30,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R,Built-up,6,4,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R,Water,39,67,4,43,28,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R,Forest,33,43,4,0,17,17,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R,Bareland,3,4,0,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PRQ_M_R,Permanent_ice_and_snow,6,1,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,Grassland,0,2,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,Cropland,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,Forest,0,30,0,0,0,8,0,44,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,Wetland,0,0,0,0,0,6,0,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,Built-up,0,3,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,Water,0,43,0,0,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,Bareland,0,7,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PRQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PRQ_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PRQ_M_R,Wetland,0,0,0,0,0,31,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PRQ_M_R,Water,0,0,0,0,0,0,0,0,72,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PRQ_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PRQ_M_R,Bareland,0,0,0,0,0,7,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PRQ_M_R,Built-up,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PRQ_M_R,Forest,0,0,0,0,0,21,0,0,19,0,0
