Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Wetland,Cropland,Bareland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Shrubland,310,73,184,67,129,45,60,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Grassland,0,82,294,60,122,172,82,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Non_Wetland,2,0,1,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Bareland,209,48,135,43,0,48,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Built-up,298,0,249,29,2,129,111,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Water,1290,36,960,0,499,151,287,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Forest,1032,209,0,283,275,236,142,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Cropland,680,237,484,75,60,0,179,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Wetland,155,0,59,19,0,6,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFJ_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Non_Wetland,2,0,2,0,3,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Shrubland,117,29,40,64,34,0,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Grassland,0,49,184,135,28,0,47,295,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Cropland,681,191,309,122,39,0,212,489,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Bareland,118,66,28,113,1,0,0,84,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Built-up,169,0,81,45,0,0,115,177,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Water,660,81,485,0,80,0,78,742,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Forest,707,118,0,478,249,0,197,1002,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Wetland,58,1,39,144,0,0,2,127,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Non_Wetland,0,0,0,0,3,0,1,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Grassland,0,45,107,42,21,91,212,263,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Wetland,47,0,21,15,0,0,267,127,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Forest,668,89,0,224,242,173,973,939,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Bareland,107,28,1,2,0,6,0,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Built-up,218,0,38,3,4,11,244,116,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Water,444,77,345,0,81,9,1419,722,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Shrubland,114,21,21,23,22,12,130,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFJ_M_R,Cropland,623,195,121,26,32,0,481,315,0,0,0
