Dataset,MajorityClass,Forest,Grassland,Cropland,Bareland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R,Shrubland,36,42,11,16,9,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R,Grassland,369,0,107,101,94,92,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R,Bareland,71,168,21,0,44,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R,Built-up,272,310,89,152,0,80,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R,Water,893,846,84,284,67,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R,Forest,0,721,122,134,132,166,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R,Cropland,247,351,0,98,110,35,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R,Non_Wetland,2,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R,Wetland,166,202,31,7,2,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQS_M_R,Non_Water,3,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,Grassland,92,0,45,88,93,110,74,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,Bareland,16,91,3,0,25,7,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,Built-up,39,178,15,175,0,64,15,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,Water,115,331,0,193,191,0,86,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,Forest,0,525,41,195,146,360,184,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,Non_Wetland,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,Non_Water,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,Shrubland,7,20,7,12,10,6,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,Cropland,100,277,0,114,133,37,15,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQS_M_R,Wetland,6,83,0,10,3,88,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,Shrubland,7,29,0,13,7,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,Grassland,76,0,0,82,75,236,4,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,Cropland,54,428,0,90,97,72,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,Wetland,0,90,0,11,0,194,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,Non_Wetland,0,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,Bareland,13,103,0,0,44,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,Built-up,50,202,0,124,0,116,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,Water,105,632,0,127,145,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,Forest,0,675,0,176,110,489,5,39,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQS_M_R,Non_Water,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQS_M_R,Grassland,0,0,0,0,0,16,81,0,236,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQS_M_R,Wetland,0,0,0,0,0,1,0,0,179,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQS_M_R,Shrubland,0,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQS_M_R,Cropland,0,0,0,0,0,1,1,0,40,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQS_M_R,Water,0,0,0,0,0,0,343,0,328,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQS_M_R,Built-up,0,0,0,0,0,7,17,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQS_M_R,Bareland,0,0,0,0,0,4,9,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQS_M_R,Forest,0,0,0,0,0,61,152,0,419,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQS_M_R,Water,0,0,0,0,0,0,0,0,0,632,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQS_M_R,Grassland,0,0,0,0,0,167,0,0,0,134,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQS_M_R,Built-up,0,0,0,0,0,46,0,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQS_M_R,Bareland,0,0,0,0,0,48,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQS_M_R,Shrubland,0,0,0,0,0,4,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQS_M_R,Cropland,0,0,0,0,0,16,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQS_M_R,Wetland,0,0,0,0,0,61,0,0,0,99,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQS_M_R,Forest,0,0,0,0,0,261,0,0,0,239,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQS_M_R,Grassland,206,0,514,95,217,16,81,486,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQS_M_R,Bareland,18,0,194,0,133,4,9,136,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQS_M_R,Built-up,66,2,224,28,0,7,17,196,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQS_M_R,Water,222,3,538,227,357,0,343,589,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQS_M_R,Forest,0,52,513,85,244,61,152,704,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQS_M_R,Cropland,56,3,0,4,89,1,1,173,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQS_M_R,Wetland,11,0,51,3,13,1,0,47,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQS_M_R,Grassland,135,0,370,16,247,176,117,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQS_M_R,Bareland,9,0,75,0,113,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQS_M_R,Water,87,0,207,1,313,0,187,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQS_M_R,Forest,0,0,324,2,359,338,215,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQS_M_R,Built-up,20,0,91,9,0,28,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQS_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQS_M_R,Wetland,5,0,34,0,16,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQS_M_R,Cropland,36,0,0,3,97,21,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQS_M_R,Water,619,133,24,15,0,0,157,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQS_M_R,Forest,0,92,82,53,0,103,20,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQS_M_R,Cropland,118,56,0,60,0,20,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQS_M_R,Built-up,202,86,113,78,0,84,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQS_M_R,Bareland,55,9,16,0,0,25,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQS_M_R,Wetland,134,20,1,4,0,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQS_M_R,Grassland,270,0,93,78,0,116,41,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KQS_M_R,Shrubland,6,0,0,2,0,0,0,0,0,0,0,0
