Dataset,MajorityClass,Forest,Wetland,Bareland,Cropland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R,Grassland,268,101,20,25,29,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R,Non_Wetland,8,2,0,0,1,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R,Cropland,49,2,1,0,7,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R,Wetland,730,0,109,59,4,270,1221,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R,Bareland,43,8,0,3,16,2,104,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R,Water,445,549,154,16,6,0,549,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R,Forest,0,69,20,1,31,43,441,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R,Shrubland,20,2,3,1,3,0,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R,Built-up,68,1,17,0,0,1,89,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,Non_Wetland,3,9,3,0,0,4,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,Grassland,116,372,107,0,16,135,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,Cropland,18,24,8,0,1,2,51,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,Wetland,223,0,151,0,1,1001,296,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,Bareland,46,20,0,0,0,41,90,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,Forest,0,555,119,0,15,234,369,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,Water,128,655,46,0,0,0,136,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,Shrubland,11,11,6,0,0,4,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,Built-up,21,28,41,0,0,18,30,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,Wetland,0,0,0,0,0,154,0,0,1210,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,Grassland,0,115,0,0,0,17,0,0,732,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,Forest,0,206,0,0,0,56,0,0,956,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,Water,0,506,0,0,0,0,0,0,689,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,Shrubland,0,0,0,0,0,0,0,0,30,0,0,0
