Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R,Shrubland,3,3,3,3,3,2,1,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R,Grassland,0,23,9,32,15,17,0,24,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R,Cropland,59,0,12,41,23,24,0,34,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R,Wetland,49,4,0,39,5,58,0,27,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R,Lichens_and_Mosses,1,1,0,2,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R,Bareland,110,28,7,0,23,67,8,78,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R,Built-up,22,15,5,17,0,10,0,17,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R,Water,147,37,33,148,28,0,25,103,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R,Forest,110,33,24,94,29,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBF_M_R,Permanent_ice_and_snow,19,0,0,24,2,9,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,Grassland,0,0,5,0,0,1,0,0,39,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,Bareland,0,0,31,0,0,13,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,Built-up,0,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,Forest,0,0,30,0,0,13,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,Cropland,0,0,6,0,0,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,Wetland,0,0,0,0,0,0,0,0,63,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,Water,0,0,61,0,0,0,0,0,48,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBF_M_R,Permanent_ice_and_snow,0,0,0,0,0,5,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,Shrubland,0,0,0,0,0,6,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,Grassland,0,0,0,0,0,27,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,Wetland,0,0,0,0,0,54,0,0,0,33,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,Bareland,0,0,0,0,0,111,0,0,0,58,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,Built-up,0,0,0,0,0,22,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,Water,0,0,0,0,0,0,0,0,0,155,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,Forest,0,0,0,0,0,109,0,0,0,61,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,Cropland,0,0,0,0,0,29,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBF_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBF_M_R,Water,66,36,61,52,34,0,12,75,0,0,167,23
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBF_M_R,Cropland,46,0,6,18,23,0,0,24,0,0,86,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBF_M_R,Wetland,11,0,0,1,3,0,0,6,0,0,32,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBF_M_R,Bareland,60,40,31,0,39,13,7,45,0,0,105,30
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBF_M_R,Built-up,13,5,0,11,0,0,0,7,0,0,27,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBF_M_R,Forest,62,42,30,40,30,13,0,0,0,0,119,18
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBF_M_R,Grassland,0,11,5,10,13,1,0,20,0,0,51,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBF_M_R,Permanent_ice_and_snow,7,0,0,9,1,5,0,10,0,0,25,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBF_M_R,Water,0,18,35,105,40,0,16,65,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBF_M_R,Grassland,0,35,28,14,24,24,2,33,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBF_M_R,Wetland,0,7,0,25,16,22,0,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBF_M_R,Built-up,0,2,3,2,0,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBF_M_R,Forest,0,26,16,48,43,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBF_M_R,Cropland,0,0,7,17,30,17,0,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBF_M_R,Bareland,0,20,17,0,40,65,5,38,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBF_M_R,Permanent_ice_and_snow,0,1,2,12,1,9,0,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBF_M_R,Water,19,15,8,60,0,0,20,77,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBF_M_R,Wetland,12,18,0,18,0,23,4,32,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBF_M_R,Bareland,4,12,2,0,0,31,13,30,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBF_M_R,Built-up,6,14,0,17,0,8,1,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBF_M_R,Forest,16,28,0,31,0,25,13,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBF_M_R,Cropland,5,0,0,8,0,4,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBF_M_R,Grassland,0,8,2,11,0,10,3,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBF_M_R,Permanent_ice_and_snow,0,0,0,1,0,11,0,0,0,0,0,0
