Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R,Shrubland,274,118,43,57,49,24,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R,Non_Wetland,13,6,0,1,7,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R,Grassland,0,148,107,43,22,45,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R,Bareland,144,49,37,42,7,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R,Built-up,222,173,65,0,1,61,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R,Forest,877,0,201,114,133,91,215,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R,Cropland,592,359,0,163,15,137,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R,Wetland,127,58,0,1,0,7,88,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R,Water,399,307,4,2,173,72,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBF_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,Non_Wetland,2,2,0,0,16,3,8,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,Shrubland,72,31,0,12,73,37,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,Grassland,0,93,0,13,136,50,34,172,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,Cropland,509,251,0,98,110,234,45,470,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,Wetland,22,10,0,0,0,16,178,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,Bareland,108,25,0,22,16,0,16,43,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBF_M_R,Built-up,144,35,0,0,27,108,22,133,0,0,0,0
