Dataset,MajorityClass,Wetland,Forest,Grassland,Shrubland,Bareland,Built-up,Water,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,Non_Wetland,4,2,2,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,Grassland,122,179,0,53,116,59,35,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,Bareland,332,294,216,45,0,90,254,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,Built-up,24,53,27,6,66,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,Shrubland,5,6,3,0,2,2,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,Cropland,13,24,7,5,12,10,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,Wetland,0,498,393,128,669,19,575,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,Water,282,298,80,22,358,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,Forest,374,0,231,99,283,104,151,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,Permanent_ice_and_snow,3,2,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R,Non_Wetland,6,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R,Grassland,59,82,0,0,11,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R,Wetland,0,139,791,0,309,28,127,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R,Bareland,385,154,635,0,0,93,192,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R,Built-up,21,97,213,0,47,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R,Forest,496,0,767,0,63,33,33,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R,Shrubland,13,0,22,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R,Water,580,64,337,0,328,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R,Cropland,9,6,58,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R,Permanent_ice_and_snow,1,0,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,Wetland,0,0,0,0,0,0,16,0,684,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,Grassland,49,0,0,0,0,0,0,0,361,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,Bareland,321,0,0,0,0,0,63,0,862,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,Built-up,38,0,0,0,0,0,0,0,52,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,Shrubland,0,0,0,0,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,Forest,371,0,0,0,0,0,30,0,861,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,Cropland,2,0,0,0,0,0,0,0,23,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,Water,588,0,0,0,0,0,0,0,376,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,Wetland,0,334,712,0,1128,91,432,187,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,Non_Wetland,0,1,1,0,5,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,Forest,69,0,596,0,663,205,29,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,Grassland,4,46,0,0,238,79,8,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,Shrubland,0,1,13,0,21,1,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,Built-up,0,1,29,0,190,0,4,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,Cropland,1,0,19,0,51,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,Bareland,2,15,68,0,0,27,126,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,Water,70,152,130,0,723,65,0,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,Permanent_ice_and_snow,0,0,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNU_M_R,Grassland,0,0,0,0,0,0,35,0,0,35,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNU_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNU_M_R,Bareland,0,0,0,0,0,0,518,0,0,197,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNU_M_R,Cropland,0,0,0,0,0,0,4,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNU_M_R,Built-up,0,0,0,0,0,0,33,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNU_M_R,Wetland,0,0,0,0,0,0,571,0,0,441,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNU_M_R,Forest,0,0,0,0,0,0,164,0,0,72,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNU_M_R,Water,0,0,0,0,0,0,0,0,0,234,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNU_M_R,Grassland,52,102,0,109,58,40,0,133,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNU_M_R,Wetland,0,60,74,111,116,62,31,138,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNU_M_R,Bareland,356,148,161,216,0,203,89,354,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNU_M_R,Built-up,40,41,72,45,23,0,0,116,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNU_M_R,Forest,391,0,381,172,162,106,42,283,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNU_M_R,Water,713,91,66,106,195,78,0,149,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNU_M_R,Cropland,2,3,2,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNU_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,1,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,Forest,142,0,0,0,35,138,107,107,0,0,0,5
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,Bareland,215,179,0,0,0,166,422,14,0,0,0,19
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,Grassland,92,155,0,0,20,127,32,42,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,Wetland,0,724,0,0,134,170,573,45,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,Built-up,2,23,0,0,34,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,Water,114,156,0,0,175,48,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,Shrubland,2,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,Cropland,0,9,0,0,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,Permanent_ice_and_snow,0,1,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNU_M_R,Forest,71,0,55,0,26,0,314,60,0,0,0,72
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNU_M_R,Wetland,0,660,62,0,201,0,602,76,0,0,0,88
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNU_M_R,Bareland,183,137,12,0,0,0,329,14,0,0,0,18
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNU_M_R,Built-up,7,82,2,0,12,0,125,5,0,0,0,17
