Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R,Shrubland,2,1,2,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R,Grassland,0,4,20,10,30,10,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R,Cropland,36,0,10,10,28,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R,Wetland,69,0,30,0,44,43,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R,Bareland,73,1,0,4,41,21,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R,Built-up,14,0,5,0,10,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R,Water,146,10,109,2,124,0,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R,Forest,92,7,64,16,0,39,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NWH_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWH_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWH_M_R,Grassland,0,13,0,0,0,8,0,29,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWH_M_R,Forest,0,34,0,0,0,21,0,33,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWH_M_R,Wetland,0,0,0,0,0,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWH_M_R,Bareland,0,35,0,0,0,18,0,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWH_M_R,Built-up,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWH_M_R,Water,0,63,0,0,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NWH_M_R,Cropland,0,1,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWH_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWH_M_R,Grassland,0,0,0,0,0,34,0,0,21,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWH_M_R,Wetland,0,0,0,0,0,44,0,0,34,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWH_M_R,Water,0,0,0,0,0,0,0,0,127,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWH_M_R,Forest,0,0,0,0,0,79,0,0,52,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWH_M_R,Cropland,0,0,0,0,0,4,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWH_M_R,Bareland,0,0,0,0,0,60,0,0,33,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NWH_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWH_M_R,Water,55,63,28,18,79,0,22,0,0,67,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWH_M_R,Cropland,16,1,4,7,18,0,0,0,0,27,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWH_M_R,Wetland,6,0,0,0,13,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWH_M_R,Bareland,27,35,0,14,35,18,10,0,0,48,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWH_M_R,Built-up,6,1,4,0,4,1,3,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NWH_M_R,Forest,51,34,28,17,0,21,25,0,0,71,0
