Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Shrubland,315,138,76,215,38,64,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Grassland,0,70,47,279,113,83,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Non_Wetland,0,0,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Bareland,231,0,22,72,25,11,26,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Built-up,204,115,0,159,23,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Water,903,533,10,836,44,120,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Forest,764,238,107,0,189,93,92,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Non_Water,6,3,0,5,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Cropland,347,185,101,258,0,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Wetland,163,26,0,179,4,0,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Lichens_and_Mosses,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KQB_M_R,Permanent_ice_and_snow,20,24,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Non_Wetland,1,0,0,0,0,0,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Shrubland,112,55,26,45,0,0,65,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Grassland,0,65,31,110,0,0,121,253,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Bareland,162,0,19,31,0,0,251,147,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Built-up,169,100,0,30,0,0,57,187,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Water,547,140,74,143,0,0,0,701,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Forest,785,255,167,0,0,0,584,1145,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Non_Water,1,0,0,0,0,0,13,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Cropland,394,155,89,216,0,0,77,375,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Wetland,112,21,8,12,0,0,188,141,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KQB_M_R,Permanent_ice_and_snow,13,6,0,0,0,0,21,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Non_Wetland,0,2,0,1,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Grassland,0,112,20,102,0,0,66,193,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Forest,825,357,84,0,0,16,407,909,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Bareland,238,0,8,24,0,0,127,44,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Water,495,262,13,156,0,0,0,583,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Non_Water,4,4,0,1,0,0,7,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Shrubland,134,114,29,46,0,0,69,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Built-up,221,85,0,16,0,0,50,120,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Cropland,469,167,110,185,0,0,45,243,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Wetland,134,38,3,16,0,0,95,146,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KQB_M_R,Permanent_ice_and_snow,5,18,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQB_M_R,Shrubland,0,0,0,0,0,0,0,0,107,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQB_M_R,Grassland,0,0,0,0,0,63,6,0,143,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQB_M_R,Water,0,0,0,0,0,585,0,0,194,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQB_M_R,Bareland,0,0,0,0,0,63,1,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQB_M_R,Cropland,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQB_M_R,Forest,0,0,0,0,0,272,75,0,297,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQB_M_R,Wetland,0,0,0,0,0,0,2,0,120,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KQB_M_R,Built-up,0,0,0,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQB_M_R,Grassland,0,0,0,0,0,0,143,0,0,130,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQB_M_R,Water,0,0,0,0,0,0,0,0,0,1046,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQB_M_R,Bareland,0,0,0,0,0,0,79,0,0,158,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQB_M_R,Shrubland,0,0,0,0,0,0,100,0,0,102,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQB_M_R,Forest,0,0,0,0,0,0,377,0,0,429,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQB_M_R,Cropland,0,0,0,0,0,0,18,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQB_M_R,Wetland,0,0,0,0,0,0,109,0,0,175,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQB_M_R,Built-up,0,0,0,0,0,0,9,0,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KQB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQB_M_R,Grassland,0,42,108,281,456,63,6,439,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQB_M_R,Bareland,2,0,150,96,257,63,1,324,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQB_M_R,Built-up,5,0,0,67,149,8,0,184,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQB_M_R,Forest,123,70,165,0,726,272,75,855,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQB_M_R,Water,10,148,133,412,667,585,0,822,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQB_M_R,Shrubland,3,4,23,49,54,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQB_M_R,Cropland,5,1,92,193,0,0,0,284,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQB_M_R,Wetland,2,0,2,19,34,0,2,27,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KQB_M_R,Permanent_ice_and_snow,0,0,13,3,22,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQB_M_R,Grassland,0,15,133,168,354,21,159,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQB_M_R,Bareland,0,0,110,21,123,0,156,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQB_M_R,Forest,0,4,319,0,508,187,500,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQB_M_R,Shrubland,0,7,110,94,167,28,126,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQB_M_R,Built-up,0,2,0,7,51,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KQB_M_R,Wetland,0,7,0,20,9,0,97,0,0,0,0,0
