Dataset,MajorityClass,Grassland,Bareland,Forest,Water,Built-up,Shrubland,Cropland,Wetland,Lichens_and_Mosses,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R,Shrubland,3,1,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R,Wetland,21,0,31,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R,Grassland,0,1,24,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R,Cropland,1,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R,Bareland,11,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R,Built-up,8,1,14,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R,Forest,73,0,0,44,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCA_M_R,Water,36,2,79,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCA_M_R,Grassland,0,2,10,0,2,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCA_M_R,Wetland,3,3,4,2,0,7,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCA_M_R,Forest,95,14,0,24,26,52,12,63,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCA_M_R,Cropland,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCA_M_R,Built-up,5,3,1,0,0,10,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCA_M_R,Water,25,7,46,0,10,8,0,64,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCA_M_R,Bareland,0,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,Grassland,0,0,0,0,0,0,0,0,0,43,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,Shrubland,0,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,Wetland,0,0,0,2,0,0,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,Forest,0,0,0,24,0,0,0,63,0,172,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,Cropland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,Bareland,0,0,0,0,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,Built-up,0,0,0,0,0,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCA_M_R,Water,0,0,0,0,0,0,0,64,0,24,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,Grassland,0,0,17,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,Shrubland,0,0,1,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,Forest,35,0,0,16,0,0,0,114,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,Bareland,0,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,Built-up,2,0,2,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCA_M_R,Water,14,0,35,0,0,0,0,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,Shrubland,1,1,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,Grassland,0,2,1,4,0,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,Forest,61,11,0,77,0,0,0,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,Built-up,3,4,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,Water,2,0,3,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCA_M_R,Wetland,2,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCA_M_R,Wetland,0,0,0,2,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCA_M_R,Forest,0,0,0,58,0,0,0,0,0,0,28,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCA_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCA_M_R,Water,0,0,0,0,0,0,0,0,0,0,58,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCA_M_R,Grassland,0,0,10,4,20,0,3,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCA_M_R,Water,0,0,12,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCA_M_R,Forest,0,0,0,101,42,0,0,4,0,0,0,0
