Dataset,MajorityClass,Forest,Cropland,Built-up,Wetland,Bareland,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Grassland,500,202,141,177,186,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Shrubland,103,36,28,18,27,4,170,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Non_Wetland,5,1,0,5,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Cropland,452,0,132,62,111,11,504,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Wetland,191,10,2,0,28,61,237,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Bareland,104,38,40,4,0,1,154,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Built-up,133,54,0,1,33,1,181,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Water,833,76,18,200,359,0,884,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Forest,0,126,99,187,82,77,668,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPM_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPM_M_R,Shrubland,0,0,0,0,0,0,0,95,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPM_M_R,Grassland,0,0,0,117,0,87,0,722,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPM_M_R,Wetland,0,0,0,0,0,6,0,169,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPM_M_R,Forest,0,0,0,302,0,140,0,835,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPM_M_R,Bareland,0,0,0,6,0,6,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPM_M_R,Cropland,0,0,0,29,0,24,0,227,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPM_M_R,Water,0,0,0,387,0,0,0,492,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPM_M_R,Built-up,0,0,0,10,0,5,0,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPM_M_R,Shrubland,19,0,2,17,26,9,66,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPM_M_R,Non_Wetland,2,0,0,5,2,1,5,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPM_M_R,Grassland,218,0,33,110,232,135,0,0,296,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPM_M_R,Cropland,184,0,39,24,211,54,695,0,262,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPM_M_R,Wetland,74,0,0,0,17,98,354,0,84,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPM_M_R,Bareland,17,0,6,11,0,9,164,0,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPM_M_R,Built-up,26,0,0,1,137,9,139,0,55,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPM_M_R,Water,238,0,1,112,92,0,1083,0,200,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPM_M_R,Forest,0,0,25,220,202,206,1020,0,439,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPM_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Grassland,41,224,89,377,486,151,0,0,312,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Non_Wetland,1,1,0,8,1,0,4,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Forest,0,177,64,561,419,268,776,0,440,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Water,78,80,65,535,398,0,455,0,181,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Shrubland,2,16,8,43,40,11,58,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Wetland,23,12,4,0,43,118,141,0,68,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Bareland,0,47,2,9,0,19,46,0,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Built-up,1,57,0,16,151,2,130,0,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Cropland,16,0,109,141,375,41,463,0,147,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPM_M_R,Permanent_ice_and_snow,0,1,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPM_M_R,Water,0,0,0,0,0,0,0,0,0,371,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPM_M_R,Grassland,0,0,0,0,0,202,0,0,0,113,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPM_M_R,Shrubland,0,0,0,0,0,6,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPM_M_R,Bareland,0,0,0,0,0,19,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPM_M_R,Cropland,0,0,0,0,0,48,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPM_M_R,Wetland,0,0,0,0,0,74,0,0,0,68,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPM_M_R,Built-up,0,0,0,0,0,3,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPM_M_R,Forest,0,0,0,0,0,157,0,0,0,150,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPM_M_R,Grassland,344,433,211,117,91,87,0,0,504,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPM_M_R,Wetland,47,13,0,0,11,6,25,0,40,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPM_M_R,Forest,0,308,134,302,186,140,343,0,433,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPM_M_R,Cropland,163,0,170,29,28,24,262,0,324,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPM_M_R,Bareland,31,80,102,6,0,6,87,0,101,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPM_M_R,Built-up,27,67,0,10,2,5,70,0,71,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPM_M_R,Water,288,239,104,387,134,0,260,0,450,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPM_M_R,Shrubland,14,6,7,0,3,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPM_M_R,Permanent_ice_and_snow,0,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPM_M_R,Shrubland,12,84,17,12,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPM_M_R,Grassland,200,964,186,66,31,301,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPM_M_R,Forest,0,551,197,53,1,435,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPM_M_R,Wetland,57,129,19,0,0,170,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPM_M_R,Bareland,5,143,93,1,0,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPM_M_R,Built-up,3,62,0,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPM_M_R,Water,68,514,19,70,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPM_M_R,Cropland,57,0,88,0,2,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPM_M_R,Shrubland,87,42,0,10,32,27,31,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPM_M_R,Forest,0,112,0,11,50,74,72,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPM_M_R,Cropland,134,0,0,8,115,54,108,0,0,0,0,29
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPM_M_R,Wetland,313,26,0,0,7,138,53,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPM_M_R,Bareland,24,18,0,3,0,23,27,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPM_M_R,Water,451,43,0,72,20,0,55,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPM_M_R,Built-up,73,53,0,0,33,14,8,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPM_M_R,Grassland,431,221,0,75,172,262,0,0,0,0,0,66
