Dataset,MajorityClass,Forest,Built-up,Wetland,Grassland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R,Grassland,26,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R,Non_Wetland,4,0,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R,Wetland,193,2,0,314,16,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R,Water,359,0,65,339,46,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R,Shrubland,3,0,0,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R,Cropland,3,0,0,8,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R,Bareland,17,0,0,30,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R,Built-up,12,0,0,28,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R,Forest,0,2,10,263,4,118,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPT_M_R,Permanent_ice_and_snow,0,0,0,5,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,Non_Wetland,2,0,4,2,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,Grassland,30,0,91,0,18,21,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,Wetland,14,0,0,49,2,91,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,Forest,0,0,523,195,54,278,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,Water,105,0,390,56,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,Shrubland,3,0,4,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,Cropland,3,0,5,0,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,Bareland,9,0,44,2,0,36,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,Built-up,8,0,20,5,9,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPT_M_R,Permanent_ice_and_snow,0,0,1,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,Non_Wetland,0,0,9,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,Forest,0,0,477,317,7,193,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,Grassland,3,0,85,0,1,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,Shrubland,0,0,7,2,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,Wetland,10,0,0,59,0,102,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,Cropland,0,0,10,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPT_M_R,Water,49,0,287,85,3,0,0,0,0,0,0,0
