Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R,Shrubland,12,1,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R,Non_Wetland,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R,Bareland,174,1,0,12,7,21,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R,Built-up,176,10,41,78,0,8,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R,Cropland,74,0,1,12,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R,Water,51,2,88,23,1,0,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R,Grassland,0,9,0,17,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R,Forest,175,13,11,0,16,0,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MCM_M_R,Wetland,84,0,1,32,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,Non_Wetland,0,0,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,Bareland,0,0,0,4,70,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,Water,0,0,82,2,91,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,Grassland,0,0,11,7,11,0,7,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,Cropland,1,0,2,3,5,0,4,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,Built-up,0,0,20,5,0,1,17,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,Forest,0,0,35,0,34,17,96,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MCM_M_R,Wetland,0,0,21,18,18,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,Non_Wetland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,Shrubland,1,1,1,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,Grassland,0,12,0,2,7,0,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,Cropland,11,0,4,1,27,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,Built-up,19,9,63,7,0,2,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,Forest,48,7,19,0,24,0,54,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,Wetland,0,0,5,19,2,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,Water,0,0,92,3,0,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MCM_M_R,Bareland,2,0,0,0,14,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCM_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MCM_M_R,Cropland,0,0,0,0,0,0,0,0,5,0,0,0
