Dataset,MajorityClass,Forest,Water,Wetland,Grassland,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R,Grassland,44,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R,Non_Wetland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R,Wetland,159,87,0,292,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R,Water,234,0,42,379,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R,Shrubland,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R,Bareland,6,2,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R,Built-up,5,0,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R,Forest,0,116,2,232,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGR_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGR_M_R,Grassland,0,8,16,0,0,0,179,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGR_M_R,Wetland,0,19,0,0,0,0,172,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGR_M_R,Water,0,0,219,0,0,0,321,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGR_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGR_M_R,Bareland,0,0,3,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGR_M_R,Forest,0,54,102,0,0,0,576,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGR_M_R,Built-up,0,0,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGR_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,Grassland,2,33,168,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,Non_Wetland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,Water,21,0,495,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,Shrubland,0,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,Wetland,1,97,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,Bareland,2,3,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,Built-up,1,0,8,2,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,Forest,0,263,498,62,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGR_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,Non_Wetland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,Forest,0,164,275,227,99,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,Grassland,0,33,69,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,Water,26,0,283,142,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,Shrubland,0,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,Wetland,7,122,0,87,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,Bareland,0,3,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,Built-up,0,6,2,3,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGR_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGR_M_R,Wetland,0,184,0,0,0,0,0,98,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGR_M_R,Grassland,0,50,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGR_M_R,Built-up,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGR_M_R,Water,0,0,0,0,0,0,0,190,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGR_M_R,Forest,0,208,0,0,0,0,0,101,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGR_M_R,Bareland,0,3,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGR_M_R,Grassland,41,8,16,0,35,10,0,0,11,10,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGR_M_R,Wetland,25,19,0,17,68,8,0,0,9,5,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGR_M_R,Bareland,1,0,3,1,0,9,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGR_M_R,Water,103,0,219,68,160,20,0,0,55,1,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGR_M_R,Built-up,0,0,0,2,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGR_M_R,Forest,0,54,102,92,146,48,0,0,88,20,18
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGR_M_R,Water,134,0,78,0,25,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGR_M_R,Grassland,41,26,12,0,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGR_M_R,Bareland,0,2,0,0,0,8,0,0,0,0,0
