Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Cropland,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Grassland,301,25,45,60,18,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Shrubland,23,0,0,1,0,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Cropland,90,0,4,39,2,0,179,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Non_Wetland,2,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Bareland,78,1,0,36,39,1,145,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Built-up,78,0,21,0,0,0,156,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Water,497,30,105,1,0,0,351,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Forest,0,15,19,21,103,2,313,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Wetland,89,0,5,0,27,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Grassland,35,120,372,72,65,19,0,58,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Forest,0,175,428,23,176,13,443,78,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Non_Wetland,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Shrubland,1,8,16,5,1,4,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Built-up,1,10,91,0,3,0,70,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Cropland,7,14,135,44,10,0,110,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Bareland,0,5,0,12,1,1,21,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Wetland,10,0,69,0,32,0,40,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Water,54,50,462,21,0,4,167,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,Permanent_ice_and_snow,0,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Shrubland,7,0,17,2,1,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Grassland,83,27,119,60,81,0,0,87,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Cropland,28,4,51,34,7,0,163,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Non_Wetland,0,0,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Bareland,35,18,0,7,32,0,127,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Built-up,15,0,71,0,1,0,80,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Water,150,180,29,1,0,0,450,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Forest,0,196,151,41,132,0,552,77,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Wetland,14,0,12,0,15,0,99,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,Grassland,0,60,0,0,43,0,0,0,198,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,Forest,0,199,0,0,81,0,0,0,341,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,Water,0,205,0,0,0,0,0,0,135,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,Shrubland,0,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,Wetland,0,0,0,0,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,Cropland,0,4,0,0,3,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,Bareland,0,18,0,0,1,0,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,Built-up,0,4,0,0,2,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLP_M_R,Grassland,174,60,59,101,43,230,0,199,0,27,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLP_M_R,Forest,0,199,108,81,81,176,162,186,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLP_M_R,Wetland,2,0,1,3,0,3,3,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLP_M_R,Bareland,31,18,0,60,1,61,44,52,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLP_M_R,Built-up,24,4,6,0,2,54,46,46,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLP_M_R,Water,140,205,102,64,0,113,128,149,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLP_M_R,Cropland,26,4,3,25,3,0,13,34,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLP_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLP_M_R,Grassland,0,0,0,0,45,0,0,0,0,0,47,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLP_M_R,Wetland,0,0,0,0,12,0,0,0,0,0,20,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLP_M_R,Water,0,0,0,0,0,0,0,0,0,0,205,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLP_M_R,Forest,0,0,0,0,119,0,0,0,0,0,98,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLP_M_R,Bareland,0,0,0,0,25,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLP_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLP_M_R,Grassland,90,0,1,135,119,395,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLP_M_R,Forest,0,3,0,118,287,163,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLP_M_R,Bareland,24,0,0,24,45,87,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLP_M_R,Built-up,0,0,3,0,1,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLP_M_R,Water,58,1,4,15,0,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLP_M_R,Shrubland,0,0,0,4,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLP_M_R,Wetland,33,0,0,8,42,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLP_M_R,Cropland,3,0,1,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLP_M_R,Forest,0,14,31,0,55,51,38,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLP_M_R,Bareland,17,6,0,0,19,11,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLP_M_R,Water,257,14,61,0,0,7,19,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLP_M_R,Shrubland,11,0,2,0,5,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLP_M_R,Wetland,77,0,11,0,39,2,7,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLP_M_R,Built-up,61,0,32,0,4,29,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLP_M_R,Cropland,18,3,16,0,6,0,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLP_M_R,Grassland,209,36,106,0,114,99,0,0,0,0,0,20
