Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Shrubland,10,5,3,4,1,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Grassland,77,0,26,42,14,12,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Non_Wetland,1,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Forest,0,106,48,61,25,31,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Cropland,73,98,0,48,29,31,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Wetland,72,93,37,0,8,0,56,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Bareland,45,49,24,28,0,18,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Built-up,10,14,9,2,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Water,110,140,50,104,45,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQG_M_R,Permanent_ice_and_snow,4,5,3,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQG_M_R,Non_Wetland,0,1,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQG_M_R,Shrubland,1,5,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQG_M_R,Grassland,12,0,2,52,0,0,5,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQG_M_R,Cropland,18,46,0,26,0,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQG_M_R,Bareland,0,5,0,5,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQG_M_R,Water,0,2,0,32,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQG_M_R,Forest,0,83,0,47,0,0,3,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQG_M_R,Wetland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQG_M_R,Shrubland,0,0,0,0,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQG_M_R,Wetland,0,0,0,0,0,0,12,0,196,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQG_M_R,Grassland,0,0,0,8,0,0,7,0,105,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQG_M_R,Cropland,0,0,0,14,0,0,10,0,86,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQG_M_R,Bareland,0,0,0,2,0,0,2,0,40,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQG_M_R,Forest,0,0,0,26,0,0,26,0,160,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQG_M_R,Built-up,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQG_M_R,Water,0,0,0,49,0,0,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQG_M_R,Grassland,57,0,78,8,9,11,7,78,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQG_M_R,Wetland,44,36,26,0,13,5,12,47,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQG_M_R,Water,85,66,67,49,34,11,0,103,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQG_M_R,Forest,0,85,85,26,26,23,26,119,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQG_M_R,Cropland,59,48,0,14,13,21,10,72,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQG_M_R,Bareland,27,41,33,2,0,16,2,51,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQG_M_R,Built-up,7,8,8,0,4,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQG_M_R,Permanent_ice_and_snow,3,1,3,0,1,1,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQG_M_R,Wetland,0,10,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQG_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQG_M_R,Grassland,2,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQG_M_R,Cropland,0,4,0,0,0,0,0,0,0,0,0,0
