Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Water,Wetland,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R,Shrubland,152,59,124,38,20,23,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R,Grassland,0,200,184,31,36,75,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R,Non_Wetland,10,5,9,0,1,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R,Bareland,218,57,95,71,30,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R,Built-up,337,231,324,0,50,22,108,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R,Water,934,282,958,119,0,536,207,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R,Forest,1070,498,0,209,359,330,51,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R,Cropland,1000,0,698,275,209,172,203,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R,Wetland,615,207,496,23,220,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R,Non_Water,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,Non_Wetland,4,0,3,1,5,12,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,Shrubland,44,0,21,18,29,45,34,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,Grassland,0,0,116,47,131,155,30,56,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,Cropland,598,0,414,334,350,588,330,286,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,Wetland,132,0,320,33,515,0,56,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,Bareland,18,0,18,87,140,15,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,Built-up,82,0,82,0,78,99,176,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,Forest,455,0,0,164,608,823,240,428,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,Water,205,0,353,111,0,576,120,85,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,Wetland,0,0,0,0,49,0,0,0,772,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,Grassland,0,0,0,0,34,126,0,0,416,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,Forest,0,0,0,0,210,492,0,0,1900,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,Water,0,0,0,0,0,636,0,0,963,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,Shrubland,0,0,0,0,0,0,0,0,111,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,Bareland,0,0,0,0,69,21,0,0,39,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,Built-up,0,0,0,0,40,50,0,0,243,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,Cropland,0,0,0,0,114,173,0,0,1181,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,Grassland,0,50,76,30,34,184,71,67,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,Non_Wetland,5,0,4,0,1,17,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,Forest,581,181,0,89,197,1066,521,540,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,Wetland,257,18,198,5,174,0,59,43,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,Water,452,22,346,64,0,883,563,184,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,Shrubland,45,10,15,11,4,47,49,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,Built-up,148,34,41,0,6,137,307,42,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,Cropland,586,0,205,256,77,582,559,207,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,Bareland,9,26,5,28,23,17,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,Water,0,0,0,0,0,0,0,0,0,1269,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,Grassland,0,0,0,0,45,0,0,0,0,141,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,Wetland,0,0,0,0,259,0,0,0,0,579,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,Shrubland,0,0,0,0,11,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,Bareland,0,0,0,0,48,0,0,0,0,70,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,Forest,0,0,0,0,368,0,0,0,0,438,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,Built-up,0,0,0,0,49,0,0,0,0,37,0,0
