Dataset,MajorityClass,Forest,Bareland,Grassland,Water,Built-up,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R,Grassland,43,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R,Non_Wetland,5,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R,Wetland,216,1,361,81,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R,Bareland,11,0,21,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R,Water,286,9,318,0,2,117,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R,Shrubland,4,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R,Cropland,5,0,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R,Built-up,70,14,74,12,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R,Forest,0,2,245,81,1,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,Non_Wetland,1,1,1,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,Grassland,12,32,0,7,15,100,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,Bareland,1,0,15,1,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,Forest,0,102,179,206,20,480,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,Water,29,22,55,0,35,434,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,Shrubland,0,1,2,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,Cropland,1,0,7,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,Wetland,8,32,60,152,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,Built-up,1,33,17,10,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMU_M_R,Grassland,0,0,0,6,0,17,140,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMU_M_R,Wetland,0,0,0,26,0,0,191,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMU_M_R,Forest,0,0,0,35,0,152,686,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMU_M_R,Water,0,0,0,0,0,241,342,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMU_M_R,Shrubland,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMU_M_R,Cropland,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMU_M_R,Bareland,0,0,0,0,0,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMU_M_R,Built-up,0,0,0,2,0,23,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,Non_Wetland,0,0,1,1,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,Forest,0,75,250,199,11,397,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,Grassland,1,27,0,29,0,66,0,0,0,0,0,0
