Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Wetland,Grassland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_18MYT_M_R,Grassland,85,6,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYT_M_R,Non_Wetland,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYT_M_R,Wetland,43,0,22,1,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYT_M_R,Bareland,14,0,12,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYT_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYT_M_R,Cropland,14,0,0,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYT_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYT_M_R,Built-up,35,0,0,1,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYT_M_R,Forest,0,1,152,17,0,224,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYT_M_R,Water,294,0,0,34,0,117,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYT_M_R,Non_Wetland,0,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYT_M_R,Grassland,12,1,18,58,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYT_M_R,Bareland,0,0,12,0,6,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYT_M_R,Forest,0,1,255,86,417,239,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYT_M_R,Shrubland,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYT_M_R,Cropland,0,0,0,11,4,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYT_M_R,Wetland,3,0,11,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYT_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYT_M_R,Built-up,0,0,0,27,14,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYT_M_R,Water,62,0,0,24,219,70,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYT_M_R,Grassland,0,0,4,0,3,0,65,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYT_M_R,Wetland,0,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYT_M_R,Cropland,0,0,1,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYT_M_R,Forest,0,0,87,0,158,0,475,0,0,0,0
