Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R,Shrubland,5,3,3,2,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R,Grassland,0,3,6,1,28,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R,Cropland,5,0,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R,Wetland,37,0,0,0,26,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R,Bareland,9,0,0,0,6,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R,Built-up,15,0,9,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R,Water,52,17,0,0,97,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R,Forest,136,16,7,10,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R,Permanent_ice_and_snow,3,0,3,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDC_M_R,Shrubland,0,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDC_M_R,Grassland,0,6,0,0,0,1,41,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDC_M_R,Forest,0,96,0,0,0,47,145,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDC_M_R,Built-up,0,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDC_M_R,Wetland,0,0,0,0,0,1,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDC_M_R,Water,0,90,0,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDC_M_R,Bareland,0,2,0,0,0,2,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDC_M_R,Grassland,0,6,10,7,19,1,0,40,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDC_M_R,Forest,94,96,12,11,0,47,0,78,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDC_M_R,Bareland,2,2,0,1,3,2,0,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDC_M_R,Wetland,1,0,0,0,3,1,0,2,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDC_M_R,Built-up,4,0,3,0,3,0,0,17,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDC_M_R,Water,17,90,0,0,44,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDC_M_R,Cropland,2,0,0,0,1,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDC_M_R,Permanent_ice_and_snow,2,0,1,0,1,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDC_M_R,Shrubland,6,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDC_M_R,Forest,108,62,5,0,0,61,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDC_M_R,Grassland,0,13,5,0,1,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDC_M_R,Bareland,15,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDC_M_R,Built-up,18,0,5,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDC_M_R,Water,13,4,3,0,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDC_M_R,Wetland,1,0,0,0,2,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDC_M_R,Grassland,0,23,0,0,16,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDC_M_R,Shrubland,1,3,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDC_M_R,Bareland,11,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDC_M_R,Built-up,4,9,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDC_M_R,Forest,55,96,0,0,0,35,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDC_M_R,Water,2,59,0,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDC_M_R,Wetland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDC_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDC_M_R,Grassland,0,0,0,0,0,10,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDC_M_R,Wetland,0,0,0,0,0,20,0,0,0,14,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDC_M_R,Forest,0,0,0,0,0,92,0,0,0,39,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDC_M_R,Water,0,0,0,0,0,0,0,0,0,81,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDC_M_R,Bareland,0,0,0,0,0,1,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDC_M_R,Forest,0,12,4,45,0,72,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDC_M_R,Grassland,0,1,2,52,24,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDC_M_R,Bareland,0,0,0,22,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDC_M_R,Water,0,19,7,1,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDC_M_R,Wetland,0,0,1,0,27,20,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDC_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
