Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Grassland,249,58,10,8,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Non_Wetland,11,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Water,786,429,2,79,0,1046,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Wetland,817,0,7,25,193,1180,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Bareland,90,8,7,0,3,186,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Built-up,141,3,0,33,15,230,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Shrubland,21,1,2,0,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Forest,0,69,14,12,54,654,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Cropland,12,0,0,0,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVS_M_R,Permanent_ice_and_snow,8,0,0,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Non_Wetland,1,10,0,2,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Grassland,63,313,26,155,170,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Wetland,67,0,16,170,604,343,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Bareland,20,45,11,0,64,67,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Water,180,705,71,146,0,339,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Forest,0,686,55,230,425,464,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Shrubland,4,10,2,8,9,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Built-up,29,65,0,98,33,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Cropland,2,11,2,1,1,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVS_M_R,Permanent_ice_and_snow,2,6,0,0,10,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVS_M_R,Grassland,0,107,0,0,16,0,0,707,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVS_M_R,Wetland,0,0,0,0,110,0,0,907,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVS_M_R,Forest,0,292,0,0,102,0,0,1283,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVS_M_R,Water,0,501,0,0,0,0,0,896,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVS_M_R,Shrubland,0,0,0,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVS_M_R,Bareland,0,26,0,0,1,0,0,94,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVS_M_R,Built-up,0,39,0,0,7,0,0,135,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVS_M_R,Cropland,0,1,0,0,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Wetland,47,0,16,309,505,382,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Non_Wetland,0,10,1,2,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Forest,0,726,115,375,313,490,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Grassland,7,311,51,236,65,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Water,53,846,23,255,0,152,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Shrubland,0,15,2,16,6,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Bareland,0,27,7,0,11,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Built-up,1,71,0,148,28,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Cropland,0,5,10,8,1,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVS_M_R,Permanent_ice_and_snow,0,7,0,15,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVS_M_R,Water,0,0,0,0,0,0,0,0,412,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVS_M_R,Grassland,0,0,0,0,248,0,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVS_M_R,Wetland,0,0,0,0,872,0,0,0,381,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVS_M_R,Bareland,0,0,0,0,70,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVS_M_R,Shrubland,0,0,0,0,7,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVS_M_R,Built-up,0,0,0,0,68,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVS_M_R,Forest,0,0,0,0,356,0,0,0,161,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVS_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVS_M_R,Forest,0,292,113,294,102,294,411,0,0,22,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVS_M_R,Grassland,114,107,73,118,16,0,321,0,0,8,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVS_M_R,Wetland,114,0,25,201,110,92,231,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVS_M_R,Bareland,6,26,36,0,1,17,107,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVS_M_R,Built-up,25,39,0,27,7,49,123,0,0,1,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVS_M_R,Water,148,501,91,324,0,104,379,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVS_M_R,Cropland,3,1,0,2,0,4,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVS_M_R,Permanent_ice_and_snow,0,0,5,0,0,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVS_M_R,Grassland,153,230,157,6,92,0,0,0,0,82,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVS_M_R,Water,198,460,139,134,0,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVS_M_R,Bareland,17,16,74,0,23,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVS_M_R,Wetland,295,0,209,50,301,0,0,0,0,32,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVS_M_R,Forest,0,275,309,5,400,0,0,0,0,35,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVS_M_R,Built-up,0,1,0,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVS_M_R,Permanent_ice_and_snow,3,0,5,5,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVS_M_R,Forest,0,3,0,19,34,50,0,0,0,38,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVS_M_R,Wetland,821,0,0,42,395,375,0,0,0,84,0,49
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVS_M_R,Bareland,40,5,0,0,17,4,0,0,0,3,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVS_M_R,Water,712,90,0,62,0,134,0,0,0,17,0,54
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVS_M_R,Built-up,86,0,0,11,14,7,0,0,0,17,0,11
