Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Grassland,Water,Shrubland,Non_Wetland,Cropland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R,Grassland,155,58,6,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R,Non_Wetland,8,2,0,1,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R,Water,384,222,6,19,142,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R,Forest,0,153,10,10,338,107,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R,Wetland,218,0,3,11,207,60,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R,Bareland,66,12,2,0,80,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R,Built-up,88,11,0,20,104,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R,Shrubland,16,4,3,2,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R,Cropland,22,0,0,2,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEC_M_R,Permanent_ice_and_snow,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,Non_Wetland,3,8,0,0,4,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,Grassland,71,136,20,44,0,28,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,Wetland,80,0,4,33,139,179,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,Bareland,26,46,12,0,79,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,Forest,0,528,49,108,313,260,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,Shrubland,5,8,2,3,11,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,Cropland,4,15,0,0,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,Built-up,14,39,0,35,17,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,Water,170,314,30,40,71,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEC_M_R,Permanent_ice_and_snow,3,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,Grassland,0,37,0,0,0,0,0,281,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,Wetland,0,0,0,0,0,7,0,226,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,Forest,0,269,0,0,0,72,0,758,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEC_M_R,Shrubland,0,0,0,0,0,0,0,25,0,0,0,0
