Dataset,MajorityClass,Grassland,Forest,Water,Wetland,Built-up,Cropland,Bareland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Shrubland,371,280,126,172,37,10,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Grassland,0,391,140,190,32,86,50,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Non_Wetland,14,12,3,15,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Forest,1263,0,626,445,58,36,74,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Cropland,562,294,100,114,30,0,52,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Wetland,1015,659,512,0,7,30,58,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Bareland,284,76,185,3,19,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Built-up,128,124,8,0,0,14,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Water,1284,1016,0,685,1,24,144,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Non_Water,3,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEL_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Non_Wetland,9,4,4,20,0,0,2,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Shrubland,129,47,56,136,2,0,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Grassland,0,156,130,330,12,0,64,484,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Cropland,446,74,74,191,8,0,75,220,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Wetland,396,401,544,0,5,0,67,884,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Bareland,139,42,163,28,3,0,0,63,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Built-up,77,8,21,25,0,0,41,79,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Water,580,488,0,552,5,0,111,1106,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Forest,700,0,625,787,23,0,287,1460,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Non_Water,0,0,3,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEL_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEL_M_R,Wetland,0,0,88,0,0,0,0,0,1051,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEL_M_R,Shrubland,0,0,0,0,0,0,0,0,557,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEL_M_R,Grassland,0,0,83,201,0,0,0,0,887,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEL_M_R,Forest,0,0,279,727,0,0,0,0,1940,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEL_M_R,Water,0,0,0,862,0,0,0,0,1045,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEL_M_R,Bareland,0,0,26,232,0,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEL_M_R,Cropland,0,0,25,13,0,0,0,0,439,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEL_M_R,Built-up,0,0,6,18,0,0,0,0,36,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Non_Wetland,6,1,0,23,0,0,8,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEL_M_R,Grassland,0,76,54,262,15,103,234,451,0,0,0
