Dataset,MajorityClass,Wetland,Water,Grassland,Bareland,Forest,Built-up,Shrubland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDF_M_R,Non_Wetland,7,3,1,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDF_M_R,Grassland,526,91,0,174,178,100,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDF_M_R,Wetland,0,757,483,185,245,19,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDF_M_R,Bareland,247,64,92,0,98,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDF_M_R,Built-up,221,63,52,126,41,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDF_M_R,Water,851,0,262,394,224,105,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDF_M_R,Forest,1078,333,511,401,0,159,58,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDF_M_R,Shrubland,38,13,21,15,25,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDF_M_R,Cropland,187,8,103,30,85,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDF_M_R,Permanent_ice_and_snow,11,0,5,2,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDF_M_R,Non_Wetland,2,0,8,0,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDF_M_R,Grassland,170,2,0,41,310,27,0,52,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDF_M_R,Cropland,34,0,221,15,132,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDF_M_R,Wetland,0,318,1040,181,870,48,0,61,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDF_M_R,Bareland,31,44,299,0,178,28,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDF_M_R,Built-up,48,45,342,122,219,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDF_M_R,Water,552,0,633,290,683,50,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDF_M_R,Shrubland,13,3,59,15,36,12,0,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDF_M_R,Forest,177,154,730,87,0,66,0,44,0,0,0,0
