Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R,Shrubland,3,3,3,1,3,3,2,1,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R,Grassland,0,21,26,1,20,12,10,1,23,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R,Cropland,59,0,13,0,25,25,10,0,51,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R,Wetland,22,1,0,0,6,0,17,3,9,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R,Bareland,91,25,19,1,0,40,52,29,55,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R,Built-up,26,12,5,0,17,0,14,1,19,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R,Water,166,19,60,6,131,33,0,50,107,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R,Permanent_ice_and_snow,38,8,2,0,36,8,20,0,10,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LTQ_M_R,Forest,61,26,30,6,30,25,17,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R,Grassland,0,0,5,0,0,0,2,0,0,35,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R,Cropland,0,0,2,0,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R,Bareland,0,0,14,0,0,0,16,0,0,26,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R,Forest,0,0,10,0,0,0,10,0,0,43,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R,Wetland,0,0,0,0,0,0,3,0,0,44,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R,Water,0,0,44,0,0,0,0,0,0,52,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R,Built-up,0,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTQ_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,8,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LTQ_M_R,Shrubland,0,0,0,0,0,0,6,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LTQ_M_R,Grassland,0,0,0,0,0,0,35,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LTQ_M_R,Cropland,0,0,0,0,0,0,38,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LTQ_M_R,Wetland,0,0,0,0,0,0,33,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LTQ_M_R,Bareland,0,0,0,0,0,0,112,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LTQ_M_R,Built-up,0,0,0,0,0,0,28,0,0,0,4,0
