Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R,Shrubland,3,3,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R,Grassland,0,6,9,1,4,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R,Cropland,41,0,43,0,4,26,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R,Wetland,134,0,91,4,81,104,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R,Bareland,75,1,0,4,37,64,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R,Built-up,23,0,18,0,9,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R,Water,197,61,161,5,0,176,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R,Forest,117,21,95,14,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R,Permanent_ice_and_snow,8,0,3,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,Forest,0,40,0,0,24,0,96,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,Wetland,0,0,0,0,18,0,141,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,Water,0,63,0,0,0,0,78,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,Grassland,0,10,0,0,8,0,33,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,Built-up,0,2,0,0,1,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,Bareland,0,28,0,0,17,0,36,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,Cropland,0,2,0,0,0,0,27,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,Shrubland,0,0,0,0,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,Grassland,0,0,0,0,25,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,Cropland,0,0,0,0,23,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,Wetland,0,0,0,0,132,0,0,60,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,Bareland,0,0,0,0,84,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,Built-up,0,0,0,0,19,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,Water,0,0,0,0,0,0,0,162,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,Forest,0,0,0,0,143,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYE_M_R,Water,31,63,7,29,0,93,0,0,113,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYE_M_R,Cropland,8,2,0,5,0,22,0,0,40,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYE_M_R,Wetland,9,0,5,10,18,39,0,0,44,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYE_M_R,Bareland,33,28,0,19,17,53,0,0,74,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYE_M_R,Built-up,7,2,1,0,1,10,0,0,15,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYE_M_R,Forest,45,40,13,33,24,0,0,0,94,33,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYE_M_R,Grassland,0,10,0,1,8,23,0,0,22,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYE_M_R,Permanent_ice_and_snow,0,0,0,0,0,4,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYE_M_R,Water,0,136,80,84,0,65,0,0,0,51,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYE_M_R,Wetland,0,0,26,47,62,32,0,0,0,13,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYE_M_R,Bareland,0,37,0,37,28,28,0,0,0,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYE_M_R,Forest,0,71,33,62,56,0,0,0,0,31,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYE_M_R,Grassland,0,29,7,12,15,16,0,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYE_M_R,Built-up,0,2,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYE_M_R,Cropland,0,27,1,9,14,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYE_M_R,Permanent_ice_and_snow,0,1,0,3,1,1,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYE_M_R,Water,47,51,91,0,0,106,0,0,0,60,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYE_M_R,Wetland,33,0,50,0,44,60,0,0,0,33,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYE_M_R,Forest,18,11,33,0,24,0,0,0,0,21,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYE_M_R,Grassland,0,0,9,0,8,12,0,0,0,4,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYE_M_R,Bareland,0,0,0,0,9,8,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYE_M_R,Built-up,0,2,2,0,2,6,0,0,0,1,0
