Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NXG_M_R,Shrubland,3,1,3,3,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXG_M_R,Grassland,0,11,43,28,5,25,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXG_M_R,Cropland,60,0,48,24,9,33,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXG_M_R,Wetland,110,12,0,27,5,80,54,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXG_M_R,Bareland,46,0,35,0,4,16,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXG_M_R,Built-up,31,5,25,22,0,19,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXG_M_R,Water,121,17,149,56,12,88,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXG_M_R,Forest,85,19,82,44,27,0,30,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXG_M_R,Permanent_ice_and_snow,9,0,0,7,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXG_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXG_M_R,Grassland,0,0,11,0,0,0,6,67,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXG_M_R,Cropland,0,0,12,0,0,0,0,60,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXG_M_R,Bareland,0,0,4,0,0,0,5,46,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXG_M_R,Built-up,0,0,6,0,0,0,1,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXG_M_R,Forest,0,0,35,0,0,0,14,119,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXG_M_R,Wetland,0,0,0,0,0,0,20,167,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXG_M_R,Water,0,0,56,0,0,0,0,89,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXG_M_R,Shrubland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXG_M_R,Grassland,0,0,0,0,0,0,40,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXG_M_R,Cropland,0,0,0,0,0,0,31,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXG_M_R,Wetland,0,0,0,0,0,0,112,0,53,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXG_M_R,Water,0,0,0,0,0,0,0,0,135,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXG_M_R,Forest,0,0,0,0,0,0,81,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXG_M_R,Built-up,0,0,0,0,0,0,25,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NXG_M_R,Bareland,0,0,0,0,0,0,31,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXG_M_R,Water,24,59,63,15,31,66,0,0,0,89,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXG_M_R,Cropland,8,0,12,2,10,42,0,0,0,56,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXG_M_R,Wetland,8,39,0,1,3,45,25,0,0,62,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXG_M_R,Bareland,19,33,5,0,15,32,5,0,0,49,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXG_M_R,Built-up,12,20,7,5,0,18,4,0,0,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXG_M_R,Forest,22,67,41,16,30,0,20,0,0,86,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXG_M_R,Grassland,0,30,11,5,14,42,6,0,0,53,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NXG_M_R,Permanent_ice_and_snow,4,3,0,0,4,4,0,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXG_M_R,Grassland,0,40,21,0,35,23,25,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXG_M_R,Wetland,0,53,0,9,58,52,63,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXG_M_R,Built-up,0,2,1,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXG_M_R,Water,0,32,72,12,104,48,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXG_M_R,Forest,0,48,35,5,59,0,51,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXG_M_R,Cropland,0,0,6,1,22,16,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXG_M_R,Bareland,0,6,12,0,27,4,21,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NXG_M_R,Permanent_ice_and_snow,0,0,1,2,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXG_M_R,Water,56,20,51,34,0,81,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXG_M_R,Cropland,22,0,6,2,0,20,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXG_M_R,Wetland,54,32,0,32,0,69,47,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXG_M_R,Built-up,8,13,2,9,0,14,13,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXG_M_R,Forest,28,15,14,12,0,0,22,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXG_M_R,Grassland,0,4,5,9,0,7,1,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NXG_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,1
