Dataset,MajorityClass,Forest,Water,Grassland,Bareland,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Built-up,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R,Grassland,58,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R,Non_Wetland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R,Bareland,6,4,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R,Wetland,144,64,241,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R,Shrubland,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R,Water,221,0,262,8,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R,Forest,0,85,185,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R,Built-up,11,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHR_M_R,Cropland,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHR_M_R,Grassland,0,4,0,0,25,133,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHR_M_R,Wetland,0,14,0,0,0,127,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHR_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHR_M_R,Forest,0,53,0,0,131,489,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHR_M_R,Water,0,0,0,0,198,203,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHR_M_R,Bareland,0,0,0,0,2,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHR_M_R,Built-up,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHR_M_R,Cropland,0,0,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,Grassland,18,25,0,11,97,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,Non_Wetland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,Bareland,2,3,3,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,Forest,0,208,112,32,414,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,Shrubland,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,Water,27,0,16,20,331,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,Wetland,10,86,36,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,Built-up,0,0,3,13,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHR_M_R,Cropland,0,2,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,Non_Wetland,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,Forest,0,127,258,94,235,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,Shrubland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,Grassland,1,30,0,11,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,Wetland,5,83,69,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,Bareland,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,Water,18,0,106,71,184,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,Built-up,0,1,9,9,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHR_M_R,Cropland,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHR_M_R,Wetland,0,194,0,0,0,0,75,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHR_M_R,Grassland,0,32,0,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHR_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHR_M_R,Water,0,0,0,0,0,0,160,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHR_M_R,Bareland,0,2,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHR_M_R,Forest,0,181,0,0,0,0,89,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHR_M_R,Grassland,44,4,0,41,25,0,0,22,12,12,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHR_M_R,Wetland,21,14,22,31,0,0,0,23,1,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHR_M_R,Forest,0,53,109,146,131,0,0,64,15,30,11
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHR_M_R,Water,89,0,54,124,198,0,0,37,0,8,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHR_M_R,Bareland,2,0,1,0,2,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHR_M_R,Built-up,1,0,2,1,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHR_M_R,Cropland,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHR_M_R,Wetland,70,85,0,1,0,0,0,0,4,8,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHR_M_R,Water,78,0,0,14,108,0,0,0,11,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHR_M_R,Grassland,30,9,0,0,27,0,0,0,7,19,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHR_M_R,Forest,0,163,0,0,41,0,0,0,3,31,0
