Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Shrubland,Cropland,Built-up,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,Shrubland,34,24,14,11,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,Wetland,0,93,10,93,2,68,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,Forest,193,184,20,125,0,197,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,Grassland,96,0,17,16,3,59,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,Water,153,101,0,0,21,59,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,Built-up,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,Bareland,1,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXB_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,Shrubland,32,25,21,3,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,Grassland,91,0,24,21,26,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,Wetland,0,84,12,48,30,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,Forest,217,166,87,71,0,161,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,Water,231,88,0,0,67,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,Cropland,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,Bareland,3,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXB_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXB_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0,0
