Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Built-up,Bareland,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Shrubland,97,167,36,22,39,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Grassland,388,0,213,78,123,113,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Bareland,131,219,46,6,47,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Non_Wetland,3,3,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Cropland,385,387,0,22,98,90,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Built-up,118,172,57,2,0,44,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Forest,0,703,129,160,167,128,81,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Wetland,235,254,11,0,8,14,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Water,635,517,38,259,7,250,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQM_M_R,Permanent_ice_and_snow,2,5,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQM_M_R,Shrubland,0,0,0,0,0,0,0,73,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQM_M_R,Grassland,0,0,0,69,0,0,45,325,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQM_M_R,Wetland,0,0,0,0,0,0,34,218,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQM_M_R,Forest,0,0,0,356,0,0,140,749,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQM_M_R,Water,0,0,0,286,0,0,0,373,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQM_M_R,Cropland,0,0,0,20,0,0,19,89,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQM_M_R,Built-up,0,0,0,0,0,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQM_M_R,Bareland,0,0,0,13,0,0,13,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQM_M_R,Shrubland,26,81,0,20,4,32,14,0,0,0,0,0
