Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Cropland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R,Grassland,251,56,70,6,7,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R,Non_Wetland,4,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R,Wetland,122,1,20,0,0,40,95,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R,Bareland,40,13,0,0,0,2,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R,Built-up,76,0,20,0,0,0,69,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R,Water,363,1,66,10,0,0,177,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R,Forest,0,48,50,3,0,91,295,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R,Shrubland,15,6,2,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBB_M_R,Cropland,62,5,1,0,0,1,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,Non_Wetland,1,0,1,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,Grassland,103,28,92,67,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,Bareland,20,1,0,2,0,1,50,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,Water,155,6,11,183,0,0,233,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,Forest,0,54,155,288,0,117,462,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,Shrubland,3,5,6,1,0,2,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,Built-up,10,0,58,0,0,0,60,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,Wetland,46,10,5,0,0,47,80,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBB_M_R,Cropland,13,0,11,9,0,1,54,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBB_M_R,Grassland,0,0,0,61,0,16,0,239,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBB_M_R,Wetland,0,0,0,0,0,2,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBB_M_R,Forest,0,0,0,183,0,53,0,514,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBB_M_R,Shrubland,0,0,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBB_M_R,Water,0,0,0,191,0,0,0,222,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBB_M_R,Bareland,0,0,0,5,0,5,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBB_M_R,Built-up,0,0,0,1,0,1,0,30,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBB_M_R,Cropland,0,0,0,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,Non_Wetland,0,0,0,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,Forest,0,48,261,350,21,190,381,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,Grassland,51,29,179,186,21,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,Shrubland,0,3,11,8,0,2,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,Built-up,0,0,67,30,0,2,45,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,Wetland,5,0,23,0,0,30,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,Bareland,0,0,0,9,5,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,Water,32,0,72,200,4,0,83,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBB_M_R,Cropland,2,2,36,17,0,3,27,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBB_M_R,Grassland,0,0,0,0,0,27,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBB_M_R,Forest,0,0,0,0,0,89,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBB_M_R,Wetland,0,0,0,0,0,23,0,0,72,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBB_M_R,Bareland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBB_M_R,Water,0,0,0,0,0,0,0,0,157,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBB_M_R,Cropland,0,0,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBB_M_R,Grassland,116,45,65,61,13,16,0,0,0,167,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBB_M_R,Built-up,18,0,1,1,0,1,48,0,0,60,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBB_M_R,Forest,0,94,160,183,19,53,295,0,0,223,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBB_M_R,Wetland,4,1,3,0,0,2,4,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBB_M_R,Bareland,9,17,0,5,0,5,25,0,0,34,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBB_M_R,Water,96,30,117,191,0,0,110,0,0,88,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBB_M_R,Cropland,19,8,4,0,0,0,24,0,0,30,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBB_M_R,Grassland,115,77,3,2,204,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBB_M_R,Forest,0,110,4,12,119,261,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBB_M_R,Bareland,3,11,0,0,11,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBB_M_R,Built-up,10,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBB_M_R,Wetland,54,11,0,0,11,87,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBB_M_R,Water,41,2,3,9,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBB_M_R,Forest,0,0,23,1,68,77,64,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBB_M_R,Bareland,10,0,0,0,9,7,7,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBB_M_R,Wetland,132,0,6,0,11,72,27,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBB_M_R,Built-up,56,0,1,0,25,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBB_M_R,Water,195,0,12,1,4,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBB_M_R,Grassland,193,0,31,2,106,71,0,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBB_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
