Dataset,MajorityClass,Grassland,Wetland,Shrubland,Water,Forest,Bareland,Cropland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,Non_Wetland,7,7,3,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,Shrubland,22,17,0,8,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,Grassland,0,256,60,91,27,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,Wetland,280,0,37,229,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,Forest,406,295,141,140,0,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,Non_Water,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,Water,178,123,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,Cropland,137,57,19,8,13,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,Bareland,29,29,2,17,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQH_M_R,Built-up,12,2,0,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Non_Wetland,7,11,0,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Grassland,0,284,0,37,235,66,56,34,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Shrubland,36,28,0,7,46,5,4,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Wetland,356,0,0,194,240,30,23,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Forest,297,297,0,48,0,24,41,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Non_Water,2,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Water,239,324,0,0,167,46,40,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Cropland,202,104,0,42,160,41,0,40,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Lichens_and_Mosses,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Bareland,86,48,0,22,77,0,23,17,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Built-up,17,3,0,2,20,11,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LQH_M_R,Permanent_ice_and_snow,2,1,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQH_M_R,Wetland,0,0,0,48,0,0,0,0,754,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQH_M_R,Grassland,0,59,0,44,0,0,0,0,758,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQH_M_R,Forest,0,82,0,63,0,0,0,0,848,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQH_M_R,Water,0,150,0,0,0,0,0,0,239,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQH_M_R,Shrubland,0,0,0,0,0,0,0,0,84,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQH_M_R,Cropland,0,22,0,20,0,0,0,0,270,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQH_M_R,Bareland,0,7,0,2,0,0,0,0,131,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQH_M_R,Built-up,0,0,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,Non_Wetland,6,13,2,4,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,Wetland,147,0,17,365,33,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,Forest,367,415,165,95,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,Grassland,0,380,21,104,31,14,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,Non_Water,1,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,Shrubland,27,47,0,9,6,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,Water,32,230,3,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,Cropland,203,133,9,15,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,Bareland,47,61,12,17,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQH_M_R,Built-up,28,6,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQH_M_R,Grassland,0,0,0,82,0,0,0,0,0,70,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQH_M_R,Water,0,0,0,0,0,0,0,0,0,317,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQH_M_R,Wetland,0,0,0,275,0,0,0,0,0,270,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQH_M_R,Shrubland,0,0,0,4,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQH_M_R,Cropland,0,0,0,36,0,0,0,0,0,24,0,0
