Dataset,MajorityClass,Grassland,Built-up,Forest,Cropland,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Shrubland,191,54,144,52,34,52,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Grassland,0,123,400,268,125,128,52,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Non_Wetland,10,4,12,2,2,14,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Bareland,453,143,272,150,0,21,119,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Built-up,629,0,575,279,292,17,105,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Water,1147,67,1168,138,522,306,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Forest,1328,436,0,403,380,287,311,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Cropland,606,197,519,0,193,51,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Wetland,282,7,282,26,29,0,97,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Non_Water,3,0,1,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNT_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Non_Wetland,11,1,4,0,2,12,10,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Shrubland,93,29,40,0,44,39,35,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Grassland,0,113,177,0,151,130,227,70,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Cropland,647,238,309,0,282,87,117,121,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Wetland,196,24,59,0,56,0,349,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Bareland,211,163,92,0,0,6,167,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Built-up,346,0,182,0,291,104,176,163,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Water,732,318,295,0,396,173,0,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Forest,1086,477,0,0,625,490,732,441,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Non_Water,1,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNT_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,Non_Wetland,8,1,2,0,3,26,1,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,Grassland,0,127,164,71,170,217,61,101,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,Forest,966,435,0,74,750,922,379,455,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,Wetland,127,14,60,0,62,0,105,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,Bareland,263,82,76,12,0,19,27,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,Built-up,367,0,147,24,385,158,35,111,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,Water,347,251,304,3,692,588,0,70,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,Non_Water,2,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,Shrubland,71,33,28,4,55,46,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNT_M_R,Cropland,573,287,254,0,305,176,19,96,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNT_M_R,Grassland,0,0,0,0,0,93,15,0,501,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNT_M_R,Wetland,0,0,0,0,0,0,8,0,546,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNT_M_R,Forest,0,0,0,0,0,359,135,0,1589,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNT_M_R,Bareland,0,0,0,0,0,27,34,0,72,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNT_M_R,Built-up,0,0,0,0,0,60,32,0,272,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNT_M_R,Water,0,0,0,0,0,533,0,0,774,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNT_M_R,Shrubland,0,0,0,0,0,0,0,0,139,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNT_M_R,Cropland,0,0,0,0,0,18,1,0,307,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNT_M_R,Grassland,0,0,0,0,0,0,153,0,0,154,0,0
