Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R,Shrubland,3,1,2,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R,Grassland,0,2,8,5,6,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R,Cropland,46,0,37,15,24,44,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R,Wetland,40,3,19,1,51,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R,Bareland,87,19,0,10,65,79,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R,Built-up,25,3,17,0,14,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R,Water,167,40,126,19,0,165,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R,Forest,104,19,78,25,72,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R,Permanent_ice_and_snow,10,1,8,0,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R,Shrubland,0,0,0,0,2,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R,Grassland,0,0,0,0,6,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R,Cropland,0,0,0,0,7,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R,Wetland,0,0,0,0,43,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R,Bareland,0,0,0,0,95,0,0,67,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R,Built-up,0,0,0,0,21,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R,Water,0,0,0,0,0,0,0,217,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R,Forest,0,0,0,0,112,0,0,76,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R,Water,59,77,60,63,0,100,64,0,136,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R,Cropland,13,0,13,16,1,34,0,0,58,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R,Wetland,0,0,1,0,0,7,0,0,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R,Bareland,37,57,0,46,19,60,27,0,80,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R,Built-up,11,16,11,0,1,13,1,0,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R,Forest,45,65,51,48,23,0,34,0,110,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R,Grassland,0,11,4,2,2,18,0,0,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R,Permanent_ice_and_snow,4,4,6,0,0,5,0,0,11,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R,Grassland,0,17,6,16,11,15,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R,Built-up,0,1,4,0,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R,Forest,0,35,55,62,68,0,27,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R,Water,0,13,128,80,0,96,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R,Wetland,0,0,26,21,21,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R,Cropland,0,0,5,23,18,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R,Bareland,0,6,0,31,56,39,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R,Permanent_ice_and_snow,0,0,4,1,6,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRU_M_R,Wetland,0,0,0,0,0,0,0,0,0,25,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRU_M_R,Bareland,0,0,0,0,19,0,27,0,0,14,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRU_M_R,Built-up,0,0,0,0,1,0,1,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRU_M_R,Water,0,0,0,0,0,0,64,0,0,32,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRU_M_R,Forest,0,0,0,0,23,0,34,0,0,36,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRU_M_R,Grassland,0,0,0,0,2,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRU_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRU_M_R,Water,10,36,84,0,0,99,25,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRU_M_R,Wetland,2,8,24,0,20,27,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRU_M_R,Forest,21,33,39,0,35,0,10,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRU_M_R,Cropland,4,0,3,0,3,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRU_M_R,Built-up,1,8,7,0,12,11,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRU_M_R,Grassland,0,4,4,0,9,8,1,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRU_M_R,Bareland,0,11,0,0,25,32,4,0,0,0,4
