Dataset,MajorityClass,Non_Wetland,Water,Wetland,Grassland,Forest,Bareland,Built-up,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,Wetland,54,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,Grassland,112,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,Shrubland,10,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,Bareland,38,3,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,Forest,386,54,130,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,Water,106,0,153,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,Built-up,76,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEB_M_R,Permanent_ice_and_snow,7,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R,Wetland,0,25,0,123,95,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R,Shrubland,0,0,0,11,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R,Grassland,0,1,0,0,30,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R,Bareland,0,0,0,40,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R,Water,0,0,34,97,167,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R,Forest,0,55,5,189,0,6,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R,Built-up,0,0,0,39,27,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEB_M_R,Permanent_ice_and_snow,0,0,0,8,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEB_M_R,Wetland,0,55,0,0,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEB_M_R,Shrubland,0,1,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEB_M_R,Grassland,0,14,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEB_M_R,Water,0,0,0,0,0,0,0,116,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEB_M_R,Forest,0,101,0,0,0,0,0,64,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEB_M_R,Bareland,0,8,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEB_M_R,Grassland,0,2,2,0,26,3,0,0,18,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEB_M_R,Wetland,0,2,0,12,9,5,2,0,18,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEB_M_R,Bareland,0,3,7,21,2,0,4,0,50,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEB_M_R,Forest,0,54,130,141,0,14,15,0,106,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEB_M_R,Water,0,0,153,39,104,0,1,0,35,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEB_M_R,Built-up,0,0,0,14,12,6,0,0,23,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEB_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEB_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,2,0,9,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEB_M_R,Grassland,0,11,59,0,27,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEB_M_R,Shrubland,0,4,4,1,2,1,0,0,0,0,0
