Dataset,MajorityClass,Grassland,Forest,Water,Bareland,Wetland,Shrubland,Cropland,Built-up,Non_Water,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NUB_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUB_M_R,Forest,48,0,33,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUB_M_R,Wetland,9,17,8,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUB_M_R,Built-up,4,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUB_M_R,Water,28,94,0,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUB_M_R,Grassland,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NUB_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUB_M_R,Forest,1,0,32,4,66,36,5,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUB_M_R,Built-up,1,1,0,0,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUB_M_R,Grassland,0,3,0,0,4,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUB_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUB_M_R,Water,0,51,0,0,71,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUB_M_R,Wetland,0,0,2,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUB_M_R,Water,0,0,0,0,0,0,0,0,71,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUB_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUB_M_R,Forest,0,0,31,0,0,0,0,0,41,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUB_M_R,Grassland,0,4,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUB_M_R,Forest,0,0,83,0,1,0,0,8,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUB_M_R,Water,0,10,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUB_M_R,Wetland,0,3,27,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUB_M_R,Water,0,6,0,0,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUB_M_R,Forest,18,0,50,1,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUB_M_R,Wetland,1,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUB_M_R,Grassland,0,0,0,0,4,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUB_M_R,Forest,0,0,32,0,66,0,0,0,0,49,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUB_M_R,Water,0,0,0,0,71,0,0,0,0,21,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUB_M_R,Forest,8,0,20,4,1,0,5,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUB_M_R,Wetland,0,26,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUB_M_R,Water,0,105,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUB_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUB_M_R,Water,0,40,0,0,59,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUB_M_R,Wetland,0,5,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUB_M_R,Forest,2,0,32,0,53,5,0,0,0,0,0
