Dataset,MajorityClass,Forest,Water,Bareland,Grassland,Built-up,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R,Grassland,86,10,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R,Non_Wetland,3,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R,Wetland,175,129,1,240,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R,Bareland,37,17,0,45,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R,Water,308,0,8,389,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R,Cropland,14,2,0,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R,Built-up,23,0,0,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R,Forest,0,168,2,348,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFM_M_R,Grassland,0,5,0,0,0,41,141,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFM_M_R,Wetland,0,4,0,0,0,0,61,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFM_M_R,Forest,0,82,0,0,0,232,669,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFM_M_R,Water,0,0,0,0,0,340,274,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFM_M_R,Cropland,0,0,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFM_M_R,Bareland,0,5,0,0,0,33,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFM_M_R,Built-up,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,Grassland,28,40,60,0,0,93,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,Non_Wetland,1,0,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,Bareland,0,29,0,19,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,Water,125,0,49,124,0,437,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,Forest,0,241,143,214,0,448,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,Cropland,0,4,7,9,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,Wetland,35,92,20,45,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,Built-up,0,3,21,14,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,Non_Wetland,0,1,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,Forest,0,177,167,365,0,407,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,Grassland,2,30,64,0,0,78,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,Water,50,0,181,246,0,296,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,Cropland,0,7,15,7,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,Wetland,6,81,61,89,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,Bareland,0,18,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,Built-up,0,5,19,10,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFM_M_R,Grassland,0,86,0,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFM_M_R,Cropland,0,11,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFM_M_R,Bareland,0,34,0,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFM_M_R,Wetland,0,229,0,0,0,0,0,79,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFM_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFM_M_R,Forest,0,333,0,0,0,0,0,102,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFM_M_R,Water,0,0,0,0,0,0,0,155,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFM_M_R,Grassland,89,5,22,0,16,41,0,0,17,90,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFM_M_R,Wetland,15,4,10,5,3,0,0,0,2,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFM_M_R,Forest,0,82,160,106,41,232,0,0,47,145,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFM_M_R,Bareland,6,5,0,2,3,33,0,0,1,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFM_M_R,Water,140,0,114,58,34,340,0,0,7,135,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFM_M_R,Built-up,4,0,0,0,0,0,0,0,0,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFM_M_R,Cropland,3,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFM_M_R,Grassland,47,39,1,0,45,1,0,0,0,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFM_M_R,Forest,0,272,3,0,62,44,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFM_M_R,Wetland,105,130,31,0,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFM_M_R,Water,143,0,65,0,16,29,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFM_M_R,Bareland,4,13,0,0,17,0,0,0,0,0,0
