Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Grassland,Cropland,Wetland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LBK_M_R,Grassland,71,3,6,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBK_M_R,Built-up,24,0,6,4,35,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBK_M_R,Water,423,0,325,0,369,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBK_M_R,Forest,0,3,245,265,462,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBK_M_R,Shrubland,2,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBK_M_R,Bareland,38,0,0,58,61,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBK_M_R,Cropland,2,0,1,1,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBK_M_R,Wetland,13,0,2,13,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LBK_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBK_M_R,Grassland,43,0,69,29,0,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBK_M_R,Built-up,5,0,35,4,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBK_M_R,Water,316,0,71,0,127,0,299,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBK_M_R,Forest,0,0,99,337,172,0,375,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBK_M_R,Shrubland,0,0,3,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBK_M_R,Cropland,1,0,3,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBK_M_R,Wetland,1,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBK_M_R,Bareland,59,0,0,69,29,0,58,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBK_M_R,Forest,0,58,204,410,515,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBK_M_R,Grassland,4,18,23,38,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBK_M_R,Water,91,82,77,0,267,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBK_M_R,Shrubland,0,1,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBK_M_R,Bareland,0,24,0,171,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBK_M_R,Cropland,0,3,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBK_M_R,Wetland,0,0,0,4,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBK_M_R,Built-up,0,0,2,6,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBK_M_R,Water,0,0,0,0,0,0,121,162,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBK_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBK_M_R,Grassland,0,0,0,9,0,0,10,31,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBK_M_R,Forest,0,0,0,121,0,0,100,337,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBK_M_R,Bareland,0,0,0,25,0,0,14,56,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBK_M_R,Wetland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBK_M_R,Grassland,79,6,3,9,0,29,10,0,34,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBK_M_R,Water,300,89,123,0,194,17,121,0,154,68,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBK_M_R,Bareland,56,35,0,25,59,3,14,0,42,28,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBK_M_R,Forest,0,115,135,121,250,58,100,0,202,85,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBK_M_R,Built-up,12,0,0,0,14,5,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBK_M_R,Cropland,2,2,0,0,2,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBK_M_R,Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBK_M_R,Grassland,0,0,0,26,0,0,0,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBK_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBK_M_R,Built-up,0,0,0,11,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBK_M_R,Water,0,0,0,0,0,0,0,0,0,0,441,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBK_M_R,Forest,0,0,0,396,0,0,0,0,0,0,364,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBK_M_R,Bareland,0,0,0,120,0,0,0,0,0,0,95,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBK_M_R,Wetland,0,0,0,10,0,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBK_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBK_M_R,Grassland,69,40,5,53,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBK_M_R,Forest,0,37,41,386,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBK_M_R,Water,265,23,156,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBK_M_R,Wetland,16,0,4,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBK_M_R,Bareland,67,12,0,46,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBK_M_R,Cropland,3,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBK_M_R,Water,578,0,385,0,12,65,1,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBK_M_R,Wetland,21,0,5,3,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBK_M_R,Forest,0,0,72,74,19,31,1,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBK_M_R,Grassland,88,0,14,23,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBK_M_R,Bareland,26,0,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBK_M_R,Built-up,3,0,7,4,0,0,0,0,0,0,0,0
