,0
Water,2616
Wetland,2297
Forest,1970
Grassland,1622
Cropland,786
Bareland,732
Non_Wetland,648
Built-up,378
Shrubland,266
Non_Water,257
Permanent_ice_and_snow,189
Lichens_and_Mosses,30
