Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Water
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Water
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
294,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
298,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
299,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
308,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
309,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
311,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
312,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
313,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
314,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Built-up,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
317,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
318,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
319,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
320,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Cropland
322,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
323,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
325,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
326,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,NULL
328,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
329,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
