Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Shrubland,500,79,70,172,104,126,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Non_Wetland,3,0,0,0,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Grassland,0,80,71,260,234,93,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Bareland,1443,0,175,235,91,414,144,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Built-up,662,195,0,291,162,48,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Water,2968,1111,148,720,295,1270,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Forest,2070,181,252,0,277,587,108,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Cropland,550,102,123,264,0,83,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Non_Water,6,0,2,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Wetland,2158,390,39,480,257,0,390,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Lichens_and_Mosses,3,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUB_M_R,Permanent_ice_and_snow,52,5,0,9,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Non_Wetland,2,5,0,3,0,3,5,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Shrubland,84,100,35,48,0,1,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Grassland,0,409,179,259,0,8,267,631,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Bareland,158,0,268,101,0,29,761,173,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Built-up,131,221,0,112,0,8,134,213,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Water,518,1084,300,497,0,96,0,1120,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Forest,492,921,462,0,0,97,657,1392,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Non_Water,0,2,0,0,0,0,6,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Cropland,352,327,168,123,0,5,74,282,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Wetland,270,1286,177,528,0,0,1693,1141,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUB_M_R,Permanent_ice_and_snow,6,18,0,7,0,0,4,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUB_M_R,Non_Wetland,5,4,0,3,0,0,2,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUB_M_R,Grassland,0,328,64,362,1,3,193,827,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUB_M_R,Bareland,624,0,59,165,0,0,351,641,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUB_M_R,Built-up,274,414,0,160,0,0,86,336,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUB_M_R,Forest,621,782,157,0,0,110,369,1682,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUB_M_R,Non_Water,1,2,0,0,0,0,4,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUB_M_R,Water,890,1045,62,908,0,100,0,1858,0,0,0,0
