Dataset,MajorityClass,Forest,Shrubland,Grassland,Cropland,Bareland,Wetland,Lichens_and_Mosses,Built-up,Water,Non_Wetland
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXE_M_R,Cropland,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXE_M_R,Built-up,1,1,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXE_M_R,Water,3,2,4,1,4,1,1,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXE_M_R,Forest,0,6,5,3,3,1,2,3,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXE_M_R,Grassland,2,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXE_M_R,Wetland,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXE_M_R,Bareland,2,0,0,0,0,1,0,1,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXE_M_R,Water,6,0,0,0,2,5,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXE_M_R,Wetland,4,0,0,0,2,0,0,2,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXE_M_R,Grassland,2,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXE_M_R,Bareland,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXE_M_R,Forest,0,0,0,1,0,4,0,4,8,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXE_M_R,Wetland,3,0,3,0,2,0,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXE_M_R,Water,4,0,1,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXE_M_R,Forest,0,0,1,0,0,1,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXE_M_R,Wetland,0,0,0,0,0,0,0,0,1,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXE_M_R,Forest,0,0,0,0,0,1,0,0,1,5
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXE_M_R,Bareland,0,0,0,0,0,1,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXE_M_R,Water,0,0,0,0,0,1,0,0,0,3
