Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R,Grassland,189,7,35,20,10,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R,Non_Wetland,3,1,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R,Shrubland,15,1,2,1,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R,Bareland,110,2,0,6,26,0,144,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R,Water,359,17,66,0,0,0,266,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R,Forest,0,8,12,3,46,0,192,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R,Wetland,105,0,33,0,51,0,158,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R,Cropland,23,0,1,4,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R,Built-up,9,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,Non_Wetland,1,3,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,Shrubland,4,3,5,0,1,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,Grassland,59,81,128,0,19,0,0,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,Bareland,4,12,0,0,3,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,Water,67,175,244,0,0,0,170,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,Forest,0,252,245,0,109,0,274,26,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,Cropland,3,11,10,0,1,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,Wetland,18,0,47,0,54,0,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,Built-up,0,0,13,0,0,0,11,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZP_M_R,Grassland,25,19,172,0,39,0,0,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZP_M_R,Non_Wetland,0,2,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZP_M_R,Forest,0,55,251,0,150,0,350,53,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZP_M_R,Shrubland,0,1,5,0,4,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZP_M_R,Wetland,9,0,69,0,54,6,120,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZP_M_R,Water,43,34,256,0,0,7,177,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZP_M_R,Cropland,0,0,28,0,2,0,25,0,0,0,0
