Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Grassland,Shrubland,Bareland,Built-up,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBG_M_R,Shrubland,15,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBG_M_R,Grassland,13,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBG_M_R,Wetland,13,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBG_M_R,Forest,214,94,43,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBG_M_R,Water,77,103,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBG_M_R,Shrubland,0,8,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBG_M_R,Grassland,0,10,0,8,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBG_M_R,Wetland,0,0,38,8,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBG_M_R,Forest,0,184,78,0,26,30,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBG_M_R,Water,0,129,0,74,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBG_M_R,Cropland,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBG_M_R,Shrubland,0,0,0,6,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBG_M_R,Grassland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBG_M_R,Wetland,0,0,22,56,40,0,17,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBG_M_R,Water,0,0,0,165,16,0,49,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBG_M_R,Forest,0,0,40,0,100,0,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBG_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBG_M_R,Grassland,0,2,0,12,0,18,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBG_M_R,Forest,0,94,43,0,7,117,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBG_M_R,Wetland,0,0,0,5,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBG_M_R,Water,0,103,0,104,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBG_M_R,Cropland,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBG_M_R,Shrubland,0,7,6,1,6,0,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBG_M_R,Forest,0,43,112,0,93,0,27,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBG_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBG_M_R,Wetland,0,0,69,8,12,0,3,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBG_M_R,Cropland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBG_M_R,Water,0,0,0,38,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBG_M_R,Wetland,0,0,15,0,0,0,0,0,0,30,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBG_M_R,Water,0,0,0,0,0,0,0,0,0,93,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBG_M_R,Forest,0,0,68,0,0,0,0,0,0,53,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBG_M_R,Forest,0,72,102,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBG_M_R,Wetland,0,0,17,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBG_M_R,Grassland,0,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBG_M_R,Water,0,80,0,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBG_M_R,Forest,0,0,62,0,10,0,9,0,8,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBG_M_R,Water,0,12,0,137,1,0,8,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBG_M_R,Grassland,0,0,1,10,0,0,0,0,1,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBG_M_R,Shrubland,0,0,0,2,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBG_M_R,Wetland,0,0,17,65,0,0,2,0,0,0,0
