Dataset,MajorityClass,Shrubland,Wetland,Bareland,Water,Forest,Built-up,Grassland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,Grassland,4,76,158,114,66,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,Non_Wetland,0,2,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,Bareland,0,61,0,103,52,4,41,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,Built-up,0,6,72,16,8,0,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,Water,0,316,238,0,368,54,400,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,Forest,1,405,332,447,0,36,461,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,Non_Water,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,Shrubland,0,2,1,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,Cropland,0,8,15,4,3,1,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,Wetland,0,0,1,7,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYR_M_R,Grassland,0,7,26,36,226,7,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYR_M_R,Non_Wetland,0,0,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYR_M_R,Bareland,0,0,0,111,44,1,75,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYR_M_R,Built-up,0,0,16,26,109,0,75,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYR_M_R,Water,0,2,221,0,705,1,464,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYR_M_R,Non_Water,0,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYR_M_R,Shrubland,0,0,0,0,6,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYR_M_R,Wetland,0,0,2,8,17,0,17,0,0,0,0
