Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LFG_M_R,Shrubland,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFG_M_R,Grassland,0,6,5,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFG_M_R,Cropland,6,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFG_M_R,Wetland,17,10,0,2,0,10,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFG_M_R,Bareland,4,1,1,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFG_M_R,Built-up,7,7,0,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFG_M_R,Water,19,39,16,6,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFG_M_R,Forest,45,0,27,9,9,25,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFG_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFG_M_R,Grassland,0,0,4,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFG_M_R,Bareland,0,0,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFG_M_R,Forest,0,0,27,0,0,13,0,32,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFG_M_R,Water,0,0,30,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFG_M_R,Wetland,0,0,0,0,0,13,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFG_M_R,Water,0,0,0,0,0,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFG_M_R,Grassland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFG_M_R,Forest,0,0,0,0,0,49,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFG_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFG_M_R,Built-up,4,3,0,1,0,0,3,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFG_M_R,Water,18,16,30,15,5,0,7,0,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFG_M_R,Forest,33,0,27,29,15,13,23,0,0,27,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFG_M_R,Grassland,0,5,4,5,0,0,2,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFG_M_R,Cropland,1,1,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFG_M_R,Bareland,2,1,1,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFG_M_R,Grassland,0,13,0,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFG_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFG_M_R,Wetland,0,12,0,1,1,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFG_M_R,Forest,0,0,9,0,16,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFG_M_R,Water,0,14,3,5,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFG_M_R,Bareland,0,1,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFG_M_R,Wetland,8,27,0,5,0,5,6,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFG_M_R,Water,2,46,0,19,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFG_M_R,Forest,5,0,0,0,0,10,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFG_M_R,Grassland,0,5,1,2,0,1,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFG_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFG_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
