Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Cropland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R,Grassland,201,53,42,20,9,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R,Non_Wetland,2,0,0,2,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R,Bareland,165,0,52,15,2,63,190,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R,Water,460,201,16,68,0,0,339,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R,Forest,0,42,69,31,0,114,388,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R,Shrubland,15,3,3,2,0,1,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R,Built-up,65,20,0,0,0,0,79,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R,Cropland,28,12,11,0,0,4,42,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEU_M_R,Wetland,73,12,1,0,0,37,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,Non_Wetland,0,0,0,4,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,Grassland,127,146,34,64,0,44,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,Bareland,45,0,1,3,0,15,73,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,Water,163,525,0,152,0,0,321,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,Forest,0,448,46,200,0,119,406,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,Shrubland,5,7,3,3,0,4,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,Built-up,41,70,0,0,0,10,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,Cropland,24,21,6,0,0,1,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEU_M_R,Wetland,22,91,0,0,0,22,55,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEU_M_R,Grassland,0,0,0,45,0,31,0,117,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEU_M_R,Bareland,0,0,0,76,0,64,0,32,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEU_M_R,Forest,0,0,0,195,0,103,0,238,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEU_M_R,Shrubland,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEU_M_R,Wetland,0,0,0,0,0,1,0,35,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEU_M_R,Water,0,0,0,251,0,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEU_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,Non_Wetland,0,3,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,Bareland,8,0,3,0,1,42,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,Forest,0,666,82,0,38,188,364,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,Grassland,50,360,54,1,7,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,Water,70,665,0,1,0,0,89,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,Shrubland,1,18,4,0,1,1,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,Wetland,2,168,0,0,0,35,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,Cropland,1,65,9,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEU_M_R,Built-up,2,84,0,0,0,3,35,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEU_M_R,Bareland,0,0,0,0,0,138,0,0,50,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEU_M_R,Shrubland,0,0,0,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEU_M_R,Grassland,0,0,0,0,0,43,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEU_M_R,Wetland,0,0,0,0,0,34,0,0,44,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEU_M_R,Water,0,0,0,0,0,0,0,0,269,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEU_M_R,Forest,0,0,0,0,0,167,0,0,116,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEU_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEU_M_R,Forest,0,52,61,195,65,103,229,0,0,275,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEU_M_R,Grassland,142,11,52,45,78,31,0,0,0,212,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEU_M_R,Bareland,108,0,77,76,78,64,74,0,0,237,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEU_M_R,Built-up,17,0,0,0,23,3,29,0,0,80,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEU_M_R,Water,220,58,28,251,35,0,90,0,0,191,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEU_M_R,Wetland,12,0,0,0,0,1,3,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEU_M_R,Cropland,6,0,4,0,0,0,9,0,0,28,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEU_M_R,Grassland,97,1,83,7,176,92,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEU_M_R,Bareland,74,0,110,14,41,85,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEU_M_R,Forest,0,1,136,29,84,322,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEU_M_R,Built-up,6,0,0,0,13,1,0,0,0,0,0
