Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Lichens_and_Mosses,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R,Shrubland,3,3,3,3,3,2,1,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R,Grassland,0,15,21,13,12,10,0,25,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R,Cropland,92,0,28,47,24,32,0,64,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R,Wetland,73,7,0,39,13,48,0,27,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R,Lichens_and_Mosses,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R,Bareland,94,30,12,0,49,64,12,56,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R,Built-up,27,16,3,24,0,17,0,24,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R,Water,168,44,73,137,59,0,25,129,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R,Forest,103,34,31,78,48,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LVN_M_R,Permanent_ice_and_snow,20,1,2,22,4,4,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R,Shrubland,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R,Grassland,0,0,7,0,0,2,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R,Cropland,0,0,7,0,0,0,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R,Forest,0,0,30,0,0,12,0,0,0,45,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R,Wetland,0,0,0,0,0,4,0,0,0,74,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R,Bareland,0,0,29,0,0,15,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R,Built-up,0,0,3,0,0,3,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R,Water,0,0,71,0,0,0,0,0,0,72,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVN_M_R,Permanent_ice_and_snow,0,0,0,0,0,5,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R,Shrubland,0,0,0,0,0,6,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R,Grassland,0,0,0,0,0,23,0,0,0,0,17,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R,Cropland,0,0,0,0,0,48,0,0,0,0,31,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R,Wetland,0,0,0,0,0,78,0,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R,Bareland,0,0,0,0,0,100,0,0,0,0,52,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R,Built-up,0,0,0,0,0,37,0,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R,Water,0,0,0,0,0,0,0,0,0,0,166,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVN_M_R,Forest,0,0,0,0,0,95,0,0,0,0,44,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVN_M_R,Water,94,90,71,77,53,0,6,102,3,0,0,140
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVN_M_R,Cropland,62,0,7,48,30,0,0,48,1,0,0,64
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVN_M_R,Wetland,12,6,0,5,2,4,0,21,0,0,0,27
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVN_M_R,Bareland,58,63,29,0,52,16,4,54,4,0,0,86
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVN_M_R,Built-up,19,22,3,16,0,3,0,17,1,0,0,24
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVN_M_R,Permanent_ice_and_snow,8,10,0,11,3,8,0,10,0,0,0,26
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVN_M_R,Forest,63,70,30,44,28,12,0,0,3,0,0,89
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVN_M_R,Grassland,0,19,7,10,6,2,0,31,1,0,0,36
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVN_M_R,Grassland,0,37,16,11,24,35,0,23,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVN_M_R,Wetland,0,17,0,13,34,41,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVN_M_R,Bareland,0,49,10,0,62,60,2,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVN_M_R,Built-up,0,5,0,2,0,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVN_M_R,Forest,0,44,13,21,58,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVN_M_R,Cropland,0,0,2,9,49,36,0,18,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVN_M_R,Water,0,39,39,86,88,0,3,45,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVN_M_R,Permanent_ice_and_snow,0,0,3,16,5,8,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVN_M_R,Cropland,12,0,2,24,0,14,0,14,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVN_M_R,Wetland,19,20,0,34,0,33,0,27,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVN_M_R,Bareland,1,15,2,0,0,29,14,15,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVN_M_R,Built-up,7,11,0,27,0,9,3,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVN_M_R,Water,22,23,14,71,0,0,21,76,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVN_M_R,Forest,21,21,3,14,0,22,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVN_M_R,Grassland,0,10,3,10,0,10,5,11,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVN_M_R,Permanent_ice_and_snow,0,0,0,1,0,5,0,0,0,0,0,0
