Dataset,MajorityClass,Grassland,Built-up,Forest,Wetland,Water,Bareland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R,Shrubland,3,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R,Grassland,0,0,25,8,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R,Cropland,44,0,17,3,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R,Wetland,117,0,88,0,72,1,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R,Bareland,11,0,20,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R,Built-up,21,0,19,0,10,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R,Water,165,7,123,59,0,10,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWV_M_R,Forest,108,4,0,27,50,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,Grassland,0,0,0,0,40,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,Cropland,0,0,0,0,17,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,Wetland,0,0,0,0,119,0,0,46,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,Bareland,0,0,0,0,17,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,Water,0,0,0,0,0,0,0,148,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,Forest,0,0,0,0,102,0,0,56,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWV_M_R,Built-up,0,0,0,0,16,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWV_M_R,Water,37,26,60,54,0,52,11,0,62,6,0
