Dataset,MajorityClass,Grassland,Bareland,Water,Forest,Wetland,Shrubland,Cropland,Built-up,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_21NVC_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVC_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVC_M_R,Cropland,2,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVC_M_R,Wetland,9,7,5,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVC_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVC_M_R,Water,17,19,0,26,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVC_M_R,Forest,19,7,11,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVC_M_R,Bareland,5,0,2,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVC_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVC_M_R,Water,0,0,0,17,20,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVC_M_R,Forest,2,1,5,0,18,17,4,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVC_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVC_M_R,Wetland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVC_M_R,Bareland,3,0,1,1,0,6,1,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVC_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVC_M_R,Water,0,0,0,0,20,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVC_M_R,Wetland,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVC_M_R,Forest,0,0,5,0,18,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVC_M_R,Bareland,0,0,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVC_M_R,Forest,0,0,21,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVC_M_R,Wetland,0,0,6,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVC_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVC_M_R,Water,0,1,0,8,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVC_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVC_M_R,Forest,1,4,7,0,1,0,4,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVC_M_R,Grassland,0,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVC_M_R,Wetland,0,0,9,12,0,0,1,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVC_M_R,Water,0,0,0,23,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVC_M_R,Wetland,0,0,6,0,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVC_M_R,Water,0,0,0,0,0,0,0,0,0,0,22
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVC_M_R,Forest,0,0,13,0,0,0,0,0,0,0,11
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVC_M_R,Forest,3,0,7,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVC_M_R,Forest,0,0,0,0,6,0,0,0,0,0,0
