Dataset,MajorityClass,Shrubland,Grassland,Bareland,Built-up,Forest,Water,Cropland,Wetland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUE_M_R,Cropland,7,5,5,5,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUE_M_R,Wetland,5,1,3,0,5,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUE_M_R,Bareland,7,6,0,5,7,1,6,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUE_M_R,Built-up,1,1,1,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUE_M_R,Water,8,5,6,7,7,0,6,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUE_M_R,Forest,8,8,5,7,0,1,7,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUE_M_R,Grassland,5,0,3,4,4,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUE_M_R,Water,0,0,9,9,10,0,4,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUE_M_R,Wetland,0,0,4,4,5,8,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUE_M_R,Grassland,0,0,0,4,5,4,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUE_M_R,Cropland,0,0,1,5,5,3,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUE_M_R,Bareland,0,0,0,5,4,6,4,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUE_M_R,Forest,0,0,5,6,0,7,4,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUE_M_R,Wetland,0,0,0,0,0,1,0,0,14,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUE_M_R,Cropland,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUE_M_R,Bareland,0,0,0,0,0,1,0,1,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUE_M_R,Forest,0,0,0,0,0,1,0,1,8,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUE_M_R,Water,0,0,0,0,0,0,0,1,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUE_M_R,Wetland,0,4,5,0,5,5,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUE_M_R,Water,0,5,5,0,5,0,3,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUE_M_R,Cropland,0,1,1,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUE_M_R,Bareland,0,1,0,0,1,1,1,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUE_M_R,Built-up,0,1,1,0,1,1,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUE_M_R,Forest,0,1,1,0,0,1,1,1,0,1
