Dataset,MajorityClass,Forest,Built-up,Wetland,Bareland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19MHS_M_R,Grassland,128,9,5,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHS_M_R,Non_Wetland,4,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHS_M_R,Wetland,346,0,0,5,170,497,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHS_M_R,Bareland,18,0,0,0,7,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHS_M_R,Water,373,3,85,27,0,523,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHS_M_R,Shrubland,5,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHS_M_R,Cropland,9,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHS_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHS_M_R,Built-up,79,0,0,3,8,75,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHS_M_R,Forest,0,12,8,3,102,319,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHS_M_R,Non_Wetland,1,0,4,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHS_M_R,Grassland,43,17,250,32,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHS_M_R,Bareland,2,0,9,0,13,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHS_M_R,Water,35,9,564,35,0,48,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHS_M_R,Forest,0,12,575,81,315,241,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHS_M_R,Shrubland,2,2,3,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHS_M_R,Wetland,25,0,0,9,238,62,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHS_M_R,Cropland,0,2,6,1,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHS_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHS_M_R,Built-up,2,0,36,50,16,31,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHS_M_R,Grassland,0,0,34,0,14,0,358,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHS_M_R,Wetland,0,0,0,0,40,0,400,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHS_M_R,Forest,0,0,202,0,73,0,778,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHS_M_R,Water,0,0,332,0,0,0,437,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHS_M_R,Shrubland,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHS_M_R,Cropland,0,0,1,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHS_M_R,Bareland,0,0,9,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHS_M_R,Built-up,0,0,1,0,2,0,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHS_M_R,Non_Wetland,0,0,3,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHS_M_R,Forest,0,39,423,133,183,374,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHS_M_R,Grassland,4,8,158,56,67,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHS_M_R,Built-up,1,0,16,55,10,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHS_M_R,Shrubland,0,0,4,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHS_M_R,Water,35,14,449,112,0,166,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHS_M_R,Cropland,0,0,2,3,2,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHS_M_R,Wetland,14,1,0,22,227,134,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHS_M_R,Bareland,0,0,3,0,6,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHS_M_R,Wetland,0,0,0,0,391,0,0,191,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHS_M_R,Grassland,0,0,0,0,122,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHS_M_R,Water,0,0,0,0,0,0,0,299,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHS_M_R,Built-up,0,0,0,0,26,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHS_M_R,Forest,0,0,0,0,248,0,0,125,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHS_M_R,Bareland,0,0,0,0,9,0,0,5,0,0,0
